"industry_code","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"111000",0.00188146754468485,0.370662450828528,1,0,0.270111187735362,36.54
"112000",0.0457823769206648,17.265899171401,1,1,0.288940492333648,45.08
"113110",0,0,0,0,0.220602401076333,28.97
"113210",0,0,0,0,0.198374188796124,24.65
"113310",0,0,0,0,0.254788729089976,32
"114111",0,0,0,0,0.178208985203999,27.24
"114112",0,0,0,0,0.17325115856511,31.24
"114119",0,0,0,0,0.140522661290688,25.41
"114210",0.000104525974704714,2.7159690870467,1,1,0.263970287559894,41.84
"115111",0,0,0,0,0.204470825699422,41.3
"115112",0.000104525974704714,0.527286413895776,1,0,0.266776776592237,38.59
"115113",0,0,0,0,0.20971891613145,35.14
"115114",0,0,0,0,0.199754985423248,32.97
"115115",0.00658513640639699,3.35345249932014,1,1,0.284130935978245,47.68
"115116",0,0,0,0,0.201905427667227,32.76
"115210",0.000731681822932999,2.90984295831944,1,1,0.26460639199626,38.7
"115310",0,0,0,0,0.22303080519033,30.05
"211120",0.00135883767116128,2.7997195993872,1,1,0.245062787875352,72.65
"211130",0.00470366886171214,21.4796627868401,1,1,0.233839676835182,64
"212114",0,0,0,0,0.171005893399385,40.22
"212115",0,0,0,0,0.156798188502661,34.05
"212210",0,0,0,0,0.127326163142551,23.03
"212220",0,0,0,0,0.127466972430889,28.76
"212230",0,0,0,0,0.122479251311792,29.73
"212290",0,0,0,0,0.126301057387198,29.62
"212311",0,0,0,0,0.159340236771767,24.32
"212312",0,0,0,0,0.194853629513585,26.38
"212313",0,0,0,0,0.120073465839699,16.65
"212319",0,0,0,0,0.162374186951515,23.89
"212321",0.00564440263405456,29.2235692506624,1,1,0.246464642771335,37.19
"212322",0,0,0,0,0.150601222294131,31.14
"212323",0,0,0,0,0.129072477743022,30.05
"212390",0.000940733772342427,12.970019728327,1,1,0.177786673383636,43.78
"213111",0.0195463572697815,75.6109762594989,1,1,0.240023335102444,64.65
"213112",0.063969896519285,49.5182913066508,1,1,0.259244010588301,71.46
"213113",0,0,0,0,0.168681684715065,42.92
"213114",0,0,0,0,0.148365642180967,33.95
"213115",0,0,0,0,0.156987401814757,28.76
"221111",0,0,0,0,0.156633563570752,23.14
"221112",0.00909375979931013,21.2781534003742,1,1,0.209940061441593,38.05
"221113",0,0,0,0,0.0978131105343499,15.57
"221114",0,0,0,0,0.121745986504809,23.68
"221115",0,0,0,0,0.17843056795658,44.65
"221116",0,0,0,0,0.117316754586104,28.65
"221117",0,0,0,0,0.116057947806988,18.7
"221118",0,0,0,0,0.118880229834388,23.57
"221121",0,0,0,0,0.156700898077864,27.68
"221122",0.016828681927459,12.7235287198384,1,1,0.281945635524399,45.41
"221210",0.00229957144350371,3.38659800042172,1,1,0.240941946970514,42.05
"221310",0.000627155848228285,1.95831159328613,1,1,0.265294886373386,43.46
"221320",0.000104525974704714,2.34570502124052,1,1,0.187412610924117,32.76
"221330",0.000104525974704714,11.7709538791966,1,1,0.116404406496673,34.59
"236115",0.00156788962057071,0.49998911392916,1,0,0.243935105010822,31.68
"236116",0,0,0,0,0.15063576276358,25.19
"236117",0.000209051949409428,0.370079851431283,1,0,0.213605636595757,31.78
"236118",0.00125431169645657,0.276325902449325,1,0,0.224777428139246,27.14
"236210",0.000104525974704714,0.106094642730274,1,0,0.22070761618373,36.65
"236220",0.00135883767116128,0.288126952530737,1,0,0.225407541541707,34.05
"237110",0.00198599351938957,1.55602980527534,1,1,0.248412059141397,38.49
"237120",0.0111842792934044,13.1420829546332,1,1,0.246171252270532,59.46
"237130",0.00449461691230271,3.146888639043,1,1,0.238841552980198,41.3
"237210",0,0,0,0,0.181134892268343,31.35
"237310",0.00156788962057071,0.703561157309188,1,0,0.245352108566366,37.51
"237990",0.000209051949409428,0.243773191143468,1,0,0.224561408648192,33.84
"238110",0.000209051949409428,0.121556065849884,1,0,0.23426386992179,33.3
"238120",0.000104525974704714,0.191893472818951,1,0,0.198541567682501,32.11
"238130",0.000104525974704714,0.16504326478204,1,0,0.199005163864576,28.86
"238140",0.000104525974704714,0.100365941090589,1,0,0.209978853154121,28
"238150",0.000104525974704714,0.2102586670628,1,0,0.211617899959407,31.89
"238160",0.000522629873523571,0.306411544599314,1,0,0.213501061730645,29.73
"238170",0,0,0,0,0.239556492227719,31.46
"238190",0.00250862339291314,6.65299212742518,1,1,0.251420109346135,43.03
"238210",0.0105571234451761,1.51740639056281,1,1,0.216316314202934,36
"238220",0.00857112992578656,1.04743657621834,1,1,0.219937317421847,32.76
"238290",0,0,0,0,0.210999493773687,32.43
"238310",0.000209051949409428,0.11642644119073,1,0,0.182419112536758,28.43
"238320",0.00167241559527543,0.873652213864724,1,0,0.204581908608789,28.54
"238330",0.000209051949409428,0.25993860975187,1,0,0.203156299551118,27.35
"238340",0.00135883767116128,2.69177254650461,1,1,0.196238702386633,30.92
"238350",0.00135883767116128,0.883249471885426,1,0,0.223907117367164,30.7
"238390",0,0,0,0,0.154472915016997,23.57
"238910",0.0176648897250967,5.25820003729989,1,1,0.277931787091893,42.49
"238990",0.00261314936761785,0.781819814823557,1,0,0.24311744748635,35.78
"311111",0,0,0,0,0.158351687856645,24.76
"311119",0,0,0,0,0.238967400823442,35.46
"311211",0,0,0,0,0.147836569864432,24.32
"311212",0,0,0,0,0.153769508272012,37.73
"311213",0,0,0,0,0.118113802969348,18.7
"311221",0,0,0,0,0.128438992364377,26.7
"311224",0,0,0,0,0.160224297596238,26.38
"311225",0,0,0,0,0.117936069161428,22.92
"311230",0,0,0,0,0.108161208659094,18.49
"311313",0,0,0,0,0.139267843595216,27.89
"311314",0,0,0,0,0.0991687632698912,27.57
"311340",0,0,0,0,0.123719895084561,18.16
"311351",0,0,0,0,0.10818699530006,17.19
"311352",0,0,0,0,0.145348541307963,19.57
"311411",0,0,0,0,0.127467667777576,18.27
"311412",0,0,0,0,0.14057033026825,22.05
"311421",0,0,0,0,0.163448897807503,20.86
"311422",0,0,0,0,0.109862192894861,18.05
"311423",0,0,0,0,0.133614841378493,22.7
"311511",0,0,0,0,0.147564376064723,20.11
"311512",0,0,0,0,0.0997216848625428,16
"311513",0,0,0,0,0.152754034229798,19.35
"311514",0,0,0,0,0.124109993916735,17.62
"311520",0,0,0,0,0.130256496626813,20.65
"311611",0.00114978572175186,1.31819696194721,1,1,0.225535502243044,43.68
"311612",0,0,0,0,0.201128052479127,31.46
"311613",0,0,0,0,0.138863733134406,25.41
"311615",0,0,0,0,0.168788064934264,25.19
"311710",0,0,0,0,0.137994112952808,28.65
"311811",0.001463363645866,1.98410316764108,1,1,0.202626405976985,30.81
"311812",0.000104525974704714,0.11718041019554,1,0,0.151147817708283,20.11
"311813",0,0,0,0,0.0962254169655303,18.59
"311821",0,0,0,0,0.124761449835892,19.68
"311824",0,0,0,0,0.114021974024015,18.27
"311830",0,0,0,0,0.135836645211323,32.76
"311911",0,0,0,0,0.112748746423946,17.19
"311919",0,0,0,0,0.123973972450152,18.16
"311920",0,0,0,0,0.147685705227038,22.05
"311930",0,0,0,0,0.0922035382232916,20.76
"311941",0,0,0,0,0.120509776526579,20.22
"311942",0,0,0,0,0.123912193043564,20.11
"311991",0,0,0,0,0.121512445984454,18.49
"311999",0,0,0,0,0.148556071782936,19.78
"312111",0,0,0,0,0.16005922548312,27.03
"312112",0,0,0,0,0.15445678577315,24
"312113",0,0,0,0,0.175028164118634,27.57
"312120",0,0,0,0,0.197596508043222,23.03
"312130",0,0,0,0,0.179794577191509,21.41
"312140",0,0,0,0,0.155046874420752,20.22
"312230",0,0,0,0,0.106644133930661,16.11
"313110",0,0,0,0,0.117792348049414,16.43
"313210",0,0,0,0,0.128928202198625,19.78
"313220",0,0,0,0,0.0979724149505121,12
"313230",0,0,0,0,0.109407925216444,14.7
"313240",0,0,0,0,0.0986989750993235,16.11
"313310",0,0,0,0,0.147071831818853,20.43
"313320",0,0,0,0,0.106846068589267,16.32
"314110",0,0,0,0,0.107781620591596,15.24
"314120",0,0,0,0,0.13269491456312,19.14
"314910",0,0,0,0,0.176456600561333,24.43
"314994",0,0,0,0,0.120810895921681,20.65
"314999",0.000313577924114142,1.64502888399004,1,1,0.204713415942377,33.3
"315120",0,0,0,0,0.103362992977199,15.03
"315210",0.000104525974704714,0.668186160799279,1,0,0.140827609223604,20.97
"315250",0,0,0,0,0.133875353083513,18.92
"315990",0,0,0,0,0.143698637190574,20.54
"316110",0,0,0,0,0.161072988478344,23.78
"316210",0,0,0,0,0.133194317687395,18.7
"316990",0,0,0,0,0.174994869609606,26.38
"321113",0.000104525974704714,0.222402497314736,1,0,0.237731084411966,30.38
"321114",0,0,0,0,0.168760457065991,24.32
"321211",0,0,0,0,0.131058121956093,17.73
"321212",0,0,0,0,0.128221418851641,19.89
"321215",0.000313577924114142,1.36811266931097,1,1,0.208930529590392,31.24
"321219",0,0,0,0,0.138294708188602,21.41
"321911",0,0,0,0,0.158210527004075,20.76
"321912",0,0,0,0,0.167074042714748,21.08
"321918",0.000104525974704714,0.495942859611778,1,0,0.179349375153384,22.16
"321920",0.000104525974704714,0.26171952263647,1,0,0.222874177274438,28.76
"321991",0,0,0,0,0.141597302076355,21.95
"321992",0,0,0,0,0.178103631318256,22.59
"321999",0,0,0,0,0.225293887776379,27.78
"322110",0,0,0,0,0.131657627109887,22.38
"322120",0,0,0,0,0.144638301942854,20.54
"322130",0,0,0,0,0.126723265403167,21.19
"322211",0.000209051949409428,0.343781231345327,1,0,0.179875400455457,23.78
"322212",0,0,0,0,0.113556386036644,15.57
"322219",0.000522629873523571,3.47989698731835,1,1,0.134990865218988,27.89
"322220",0,0,0,0,0.136241882748428,17.08
"322230",0,0,0,0,0.111509337666306,19.14
"322291",0,0,0,0,0.123805715533148,20.97
"322299",0,0,0,0,0.124006307231826,16.11
"323111",0.000418103898818856,0.275550060186705,1,0,0.179998944108596,22.38
"323113",0,0,0,0,0.215308721653909,31.89
"323117",0,0,0,0,0.116926689762229,17.84
"323120",0,0,0,0,0.117983881043436,18.16
"324110",0,0,0,0,0.156433143667606,43.68
"324121",0,0,0,0,0.181157376764048,27.57
"324122",0,0,0,0,0.115827675746936,22.92
"324191",0,0,0,0,0.124438142676155,25.62
"324199",0.000731681822932999,27.4124341790188,1,1,0.138560807018139,44.43
"325110",0,0,0,0,0.165040212820343,58.7
"325120",0,0,0,0,0.141952068891164,32.54
"325130",0,0,0,0,0.100106224201138,15.24
"325180",0.00606250653287342,25.3221037734758,1,1,0.1724931199236,38.05
"325193",0,0,0,0,0.168240178960369,34.7
"325194",0,0,0,0,0.120944537219316,27.14
"325199",0.000522629873523571,2.15863107200355,1,1,0.159193527715934,32.43
"325211",0,0,0,0,0.158959859935957,25.73
"325212",0,0,0,0,0.121363150551678,26.38
"325220",0,0,0,0,0.113503866494833,15.89
"325311",0.0174558377756873,337.321795037622,1,1,0.178948159478501,40.32
"325312",0,0,0,0,0.130398988528117,32.43
"325314",0,0,0,0,0.169736406678331,24
"325315",0,0,0,0,0.116901732894356,22.05
"325320",0,0,0,0,0.139696302408857,28.54
"325411",0,0,0,0,0.130317998924135,22.7
"325412",0,0,0,0,0.114559871566861,18.16
"325413",0,0,0,0,0.0907082221905392,18.16
