"industry_code","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"111000",0.00647397878205664,1.27541973750652,1,1,0.279604378226651,53.04
"112000",0.00025060563027316,0.0945108540690192,1,0,0.279916595625106,49.76
"113110",0,0,0,0,0.200477099939681,46.9
"113210",0,0,0,0,0.174345594207815,48.39
"113310",0,0,0,0,0.258037989142795,45.05
"114111",0,0,0,0,0.176872307327936,46.39
"114112",0,0,0,0,0.178150178066872,49.83
"114119",0,0,0,0,0.120963451871991,50.49
"114210",0,0,0,0,0.236456423950461,50.21
"115111",0,0,0,0,0.18656758201833,54.53
"115112",4.17676050455267e-05,0.210698735349632,1,0,0.274961694692621,50.52
"115113",0,0,0,0,0.203859466660328,51.13
"115114",0,0,0,0,0.189448167250173,50.02
"115115",0.000208838025227633,0.106349869529258,1,0,0.289458820526969,48.93
"115116",4.17676050455267e-05,0.315145264780005,1,0,0.209335136073263,50.21
"115210",4.17676050455267e-05,0.166106588435398,1,0,0.265477824953103,46.9
"115310",0,0,0,0,0.223670032831517,44.73
"211120",0,0,0,0,0.201557232798354,63.6
"211130",0.00580569710132821,26.5121588371493,1,1,0.197094354612608,67.2
"212114",0,0,0,0,0.152985668283296,59.43
"212115",0,0,0,0,0.144237936939415,58.32
"212210",0,0,0,0,0.109574781333,56.95
"212220",0,0,0,0,0.119740751091513,47.53
"212230",0,0,0,0,0.102907914750191,48.84
"212290",0,0,0,0,0.110630898459826,46.74
"212311",0,0,0,0,0.156331997059876,49.95
"212312",0.00116949294127475,8.45552874328575,1,1,0.204004753157053,55.93
"212313",0,0,0,0,0.12353718059967,52.97
"212319",0,0,0,0,0.148858177312217,52.12
"212321",0,0,0,0,0.216130467590106,50.91
"212322",0,0,0,0,0.135967803230202,57.78
"212323",0,0,0,0,0.129992627602249,57.21
"212390",0,0,0,0,0.144823599024217,52.43
"213111",0,0,0,0,0.203956039550995,60.45
"213112",0.00175423941191212,1.35793463718492,1,1,0.231492961692567,64.78
"213113",0,0,0,0,0.14628831175316,57.4
"213114",0,0,0,0,0.117711168032759,49
"213115",0,0,0,0,0.133918732024699,55.23
"221111",0,0,0,0,0.145975487061796,50.87
"221112",0.00371731684905188,8.69801269194752,1,1,0.186791559511411,60.99
"221113",0.0558850555509147,261.997995703113,1,1,0.140235493917078,75.47
"221114",0,0,0,0,0.113883107294675,53.39
"221115",0,0,0,0,0.149531465827582,55.71
"221116",0,0,0,0,0.0939787968101408,55.27
"221117",0,0,0,0,0.108175096737601,54.76
"221118",4.17676050455267e-05,1.4694482739611,1,1,0.1214707127372,66.66
"221121",0,0,0,0,0.141213528233902,56.03
"221122",0,0,0,0,0.259106330666094,50.65
"221210",0.000167070420182107,0.246045998056171,1,0,0.200076946694053,54.92
"221310",0,0,0,0,0.236662466350585,52.56
"221320",0,0,0,0,0.158771910149665,52.08
"221330",0,0,0,0,0.0926891560442879,57.3
"236115",0.000542978865591847,0.173152190261141,1,0,0.24922064716497,47.41
"236116",0,0,0,0,0.143008001607086,50.84
"236117",4.17676050455267e-05,0.073940229275814,1,0,0.216776337897763,49.6
"236118",0.00229721827750397,0.506079083410946,1,0,0.239939821565514,47.47
"236210",0.0056386266811461,5.72324807221918,1,1,0.204944433827064,60.32
"236220",0.00902180268983377,1.91297648756963,1,1,0.222692829122033,55.3
"237110",0.00175423941191212,1.37445000896224,1,1,0.24943452417838,55.46
"237120",0.0029654999582324,3.48460955155461,1,1,0.208967199307045,64.97
"237130",0.0142427533205246,9.97200862444319,1,1,0.228769131302194,56.98
"237210",8.35352100910534e-05,0.340804427788024,1,0,0.190967649878973,50.49
"237310",0.0168741124383928,7.57194251429484,1,1,0.228619139183796,56.32
"237990",0.00588923231141926,6.86736936917148,1,1,0.23436185430026,55.11
"238110",0.00179600701695765,1.04431242012762,1,1,0.248603576225192,54.09
"238120",0.00167070420182107,3.06715371223608,1,1,0.201686134586967,57.33
"238130",0.00012530281513658,0.197849249958622,1,0,0.21813491707787,48.84
"238140",0.000668281680728427,0.641684710325727,1,0,0.224595059869255,50.84
"238150",4.17676050455267e-05,0.0840174032156797,1,0,0.181388003577363,53.1
"238160",0.0012530281513658,0.734635180147433,1,0,0.204618479157935,51.99
"238170",0.00037590844540974,1.0750561197161,1,1,0.241855852723315,53.17
"238190",4.17676050455267e-05,0.110769734641837,1,0,0.232154611870713,52.85
"238210",0.00284019714309581,0.408229885514985,1,0,0.214459978914314,53.71
"238220",0.0136997744549328,1.6741835643941,1,1,0.221594823864403,55.01
"238290",0.00121126054632027,1.18795110819905,1,1,0.219518508301671,58.26
"238310",0.00137833096650238,0.767628188429673,1,0,0.195417367498318,49.76
"238320",0.0029654999582324,1.5491458050526,1,1,0.221038858565888,51.83
"238330",0.000793584495865007,0.986755929129285,1,0,0.222118002662812,50.94
"238340",0.000334140840364214,0.661912132587333,1,0,0.183367944134875,48.62
"238350",0.0012530281513658,0.814472895798938,1,0,0.240800769930275,50.05
"238390",0.000417676050455267,0.651192734006836,1,0,0.178282875601257,53.87
"238910",0.00334140840364214,0.99461666990786,1,0,0.269561570249505,48.87
"238990",0.00317433798346003,0.949720044774354,1,0,0.249962460559089,51.77
"311111",0,0,0,0,0.132669474550343,54.09
"311119",0,0,0,0,0.214885802138738,52.31
"311211",0,0,0,0,0.139846491537213,55.14
"311212",0,0,0,0,0.133362404164407,57.81
"311213",0,0,0,0,0.103487991633035,52.08
"311221",0,0,0,0,0.122191085632841,59.27
"311224",0,0,0,0,0.145272641574611,52.88
"311225",0,0,0,0,0.120558127659793,57.33
"311230",0,0,0,0,0.106816708355877,51.38
"311313",0,0,0,0,0.113130074301119,52.78
"311314",0,0,0,0,0.0973402514793526,58.61
"311340",0,0,0,0,0.11347822356889,53.9
"311351",0,0,0,0,0.09244159408048,51.99
"311352",0,0,0,0,0.132247818010842,52.91
"311411",0,0,0,0,0.109086456893672,51.03
