"cbsa_geoid","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"10100",0,0,0,0,0.162116732370778,56.97
"10140",0,0,0,0,0.13806629343135,36.76
"10180",0,0,0,0,0.173721590695967,64.65
"10220",0,0,0,0,0.108330788160145,13.08
"10300",0,0,0,0,0.184150499630942,68.43
"10420",0,0,0,0,0.321097678958406,97.08
"10460",0,0,0,0,0.088327601280427,4.97
"10480",0,0,0,0,0.124072300264985,24.54
"10500",0,0,0,0,0.158656533710868,53.3
"10540",0,0,0,0,0.191091788716221,71.35
"10580",0,0,0,0,0.218884696717922,80.97
"10620",0,0,0,0,0.165602906407419,59.03
"10660",0,0,0,0,0.133403189335574,32.32
"10700",0,0,0,0,0.157630779263259,52.65
"10740",0,0,0,0,0.210567112219449,78.92
"10760",0,0,0,0,0.106965871905075,12.54
"10780",0,0,0,0,0.151222326271255,47.57
"10820",0,0,0,0,0.179775233849149,66.92
"10860",0,0,0,0,0.0753013601088155,2.16
"10900",0,0,0,0,0.271759482667018,92.32
"10940",0,0,0,0,0.124462690251698,24.76
"10980",0,0,0,0,0.146711276491237,44.54
"11020",0,0,0,0,0.202084273112721,75.78
"11060",0,0,0,0,0.0791075554097602,2.7
"11100",0,0,0,0,0.236417154209523,86.27
"11140",0,0,0,0,0.13463820075674,33.41
"11180",0,0,0,0,0.135051295684956,33.62
"11200",0,0,0,0,0.166853499885586,60.32
"11220",0,0,0,0,0.115088740728075,18.16
"11260",0,0,0,0,0.208924199311293,78.16
"11360",0,0,0,0,0.153646145425068,49.62
"11380",0,0,0,0,0.0714442899072251,1.19
"11420",0,0,0,0,0.1658169573278,59.57
"11460",0,0,0,0,0.163666242662915,58.16
"11500",0,0,0,0,0.155547562912989,51.14
"11540",0,0,0,0,0.262527686594331,90.49
"11580",0,0,0,0,0.1039910238615,10.49
"11620",0,0,0,0,0.148372442829449,45.73
"11660",0,0,0,0,0.0828146427234872,3.57
"11680",0,0,0,0,0.10506586346784,11.24
"11700",0,0,0,0,0.291855895595621,95.14
"11740",0,0,0,0,0.158644487201896,53.19
"11820",0,0,0,0,0.141520481333978,40.86
"11860",0,0,0,0,0.0995461676147487,8.32
"11900",0,0,0,0,0.108334525676811,13.19
"11940",0,0,0,0,0.159463917346458,54.59
"11980",0,0,0,0,0.180737567699807,67.14
"12020",0,0,0,0,0.159096916637598,53.95
"12060",1.23819305534661e-06,0.0130903854366961,1,0,0.365276088072292,99.03
"12100",0,0,0,0,0.166840025240485,60.22
"12140",0.00649726866412846,68.6902181626273,1,1,0.230176395638264,84.32
"12180",0,0,0,0,0.158904547726742,53.84
"12220",0,0,0,0,0.159442073866843,54.49
"12260",0,0,0,0,0.184116902280135,68.32
"12300",0,0,0,0,0.170357484570033,62.7
"12380",0,0,0,0,0.103146826284056,10.27
"12420",0,0,0,0,0.279079067347177,93.41
"12460",0,0,0,0,0.111679827664515,15.35
"12520",0,0,0,0,0.125161575331819,25.19
"12540",0,0,0,0,0.156763357146597,52.22
"12580",0,0,0,0,0.216456950858545,80.22
"12620",0,0,0,0,0.201875372603004,75.68
"12660",0,0,0,0,0.152506002427343,48.76
"12700",0,0,0,0,0.197111755139835,74.16
"12740",0,0,0,0,0.160903567781759,55.57
"12780",0,0,0,0,0.132831421565781,31.57
"12860",0,0,0,0,0.161228047246086,56
"12900",0,0,0,0,0.112811807860217,16.43
"12940",0,0,0,0,0.215021390733657,80.11
"12980",0,0,0,0,0.161143966372677,55.89
"13020",0,0,0,0,0.178524946361856,66.49
"13060",0,0,0,0,0.107099732951452,12.65
"13100",0,0,0,0,0.126247831174427,25.95
"13140",0,0,0,0,0.204237472446167,76.32
"13180",0,0,0,0,0.151279750998607,47.68
"13220",0,0,0,0,0.133098686681629,31.89
"13260",0,0,0,0,0.132001969801071,30.92
"13300",0,0,0,0,0.0835601139634188,3.68
"13340",0,0,0,0,0.120007865515479,21.3
"13380",0,0,0,0,0.269876866172396,91.89
"13420",0,0,0,0,0.146691298090896,44.32
"13460",2.41460352210167e-05,0.255275949454155,1,0,0.285931182550623,94.27
"13540",0,0,0,0,0.165612730041512,59.14
"13660",0,0,0,0,0.124928699910347,25.08
"13700",0,0,0,0,0.119647670361983,21.08
"13740",0,0,0,0,0.245982713501163,87.89
"13780",0,0,0,0,0.175867007571138,65.19
"13820",0,0,0,0,0.28012318376386,93.51
"13860",0,0,0,0,0.0961475480211774,7.35
"13900",0,0,0,0,0.197770490161266,74.38
"13940",0,0,0,0,0.14389386874016,42.05
"13980",0,0,0,0,0.143230578459717,41.62
"14010",0,0,0,0,0.12317634426266,23.78
"14020",0,0,0,0,0.134295309416674,33.08
"14100",0,0,0,0,0.140622215835887,39.78
"14140",0,0,0,0,0.147149589645802,45.19
"14180",0,0,0,0,0.0924379117598635,6.05
"14220",0,0,0,0,0.0928620110947556,6.27
"14260",5.95201303948703e-05,0.629256839025925,1,0,0.313195922166778,96.43
"14300",0,0,0,0,0.117179511301672,19.57
"14380",0,0,0,0,0.133239791715573,32.11
"14420",0,0,0,0,0.0721726943577007,1.62
"14460",0,0,0,0,0.286905343844488,94.49
"14500",0,0,0,0,0.260564585415933,90.27
"14540",0,0,0,0,0.218584166543686,80.76
"14580",0,0,0,0,0.267501822024592,91.46
"14620",0,0,0,0,0.130096518954232,29.3
"14660",2.13981554789977e-05,0.226224902203169,1,0,0.193350996477816,72.32
"14700",0,0,0,0,0.130874274272962,30.27
"14710",0,0,0,0,0.193714688418496,72.43
"14720",0,0,0,0,0.129125131066682,28.65
"14740",0,0,0,0,0.164082068543285,58.38
"14780",0,0,0,0,0.1454415450105,43.46
"14820",0,0,0,0,0.133887459980819,32.65
"14860",0,0,0,0,0.281570738966252,93.62
"14940",0,0,0,0,0.144977776702173,43.03
"15020",0,0,0,0,0.115045619007635,18.05
"15060",0,0,0,0,0.138394294280555,37.41
"15100",0,0,0,0,0.127018087365341,26.7
"15180",0,0,0,0,0.153508921992339,49.51
"15220",0,0,0,0,0.129010112509434,28.43
"15260",0,0,0,0,0.175427111765988,64.86
"15340",0,0,0,0,0.155406195327962,50.92
"15380",0,0,0,0,0.291483071316734,95.03
"15420",0,0,0,0,0.130870148493107,30.16
"15460",0,0,0,0,0.153776980379149,49.73
"15500",0,0,0,0,0.189837542035725,70.49
"15540",5.7465897581404e-05,0.607539143882292,1,0,0.233448223532307,85.73
"15580",0,0,0,0,0.151627451542677,47.78
"15620",0,0,0,0,0.162732731833751,57.51
"15660",0,0,0,0,0.107302580217039,12.86
"15700",0,0,0,0,0.13410752797819,32.76
"15740",0,0,0,0,0.135805189148311,34.16
"15780",0,0,0,0,0.077246393452816,2.38
"15820",0,0,0,0,0.13414169282591,32.86
"15860",0,0,0,0,0.137598819068288,35.57
"15900",0,0,0,0,0.1002086452293,8.54
"15940",0,0,0,0,0.315703965241043,96.65
"15980",0,0,0,0,0.230364402640851,84.43
"16020",0,0,0,0,0.193125249405907,72
"16060",0,0,0,0,0.101515168185787,9.19
"16100",0,0,0,0,0.121980390420444,23.14
"16140",0,0,0,0,0.130071864859103,29.19
"16180",0,0,0,0,0.166796473052448,60.11
"16220",0,0,0,0,0.225271372315748,82.92
"16260",0,0,0,0,0.190812588907635,71.03
"16300",0,0,0,0,0.241536433308065,87.24
"16340",0,0,0,0,0.106749463678984,12.32
"16380",0,0,0,0,0.137021347877415,35.24
"16460",0,0,0,0,0.109968618171661,14.7
"16500",0,0,0,0,0.179161107470038,66.81
"16540",0,0,0,0,0.191605996683606,71.46
"16580",0,0,0,0,0.14574857347065,43.78
"16620",0,0,0,0,0.15572758747371,51.46
"16660",0,0,0,0,0.105435455053345,11.46
"16700",0,0,0,0,0.289083472077962,94.81
"16740",0,0,0,0,0.360562277214627,98.7
"16820",0,0,0,0,0.161747905296309,56.76
"16860",3.29864260856657e-06,0.0348738049996229,1,0,0.284374645018841,94.16
"16940",0,0,0,0,0.157744853590729,52.86
"16980",0,0,0,0,0.426401047491956,100
"17020",0,0,0,0,0.208246272657396,77.73
"17060",0,0,0,0,0.12769837203866,27.46
"17140",0,0,0,0,0.382217103742708,99.57
"17220",0,0,0,0,0.126274084081649,26.05
"17260",0,0,0,0,0.0979240757726921,7.78
"17300",0,0,0,0,0.169183134950063,61.84
"17340",0,0,0,0,0.115753507586456,18.38
"17380",0,0,0,0,0.102970135296358,10.16
"17410",3.52161966331555e-06,0.0372311559616555,1,0,0.386130769485384,99.78
"17420",0,0,0,0,0.193283291760607,72.22
"17500",0,0,0,0,0.132022370923443,31.03
"17540",0,0,0,0,0.145590761467277,43.68
"17580",0,0,0,0,0.102832149598571,9.95
"17650",0,0,0,0,0.168721064537688,61.51
"17660",0,0,0,0,0.28904729978149,94.7
"17740",0,0,0,0,0.145176294554187,43.35
"17780",0,0,0,0,0.156471836038498,51.89
"17820",0,0,0,0,0.198884803946205,74.59
"17860",0,0,0,0,0.174469442380307,64.76
"17900",0,0,0,0,0.267331624753959,91.35
"17980",0,0,0,0,0.15060767977943,47.24
"18020",0,0,0,0,0.137430634887934,35.46
"18060",0,0,0,0,0.164917588654863,58.59
"18100",0,0,0,0,0.139208035279388,38.05
"18140",0.000289935750237747,3.06524956354832,1,1,0.371884173516998,99.24
"18180",0,0,0,0,0.228671396977298,84
"18220",0,0,0,0,0.0962300744718696,7.46
"18260",0,0,0,0,0.210183162427782,78.7
"18300",0,0,0,0,0.159896858421518,54.92
"18340",0,0,0,0,0.162439245187884,57.3
"18380",0,0,0,0,0.0895910477009227,5.3
"18420",0,0,0,0,0.131139175782116,30.49
"18460",0,0,0,0,0.117149558302266,19.46
"18500",0,0,0,0,0.108598757339802,13.62
"18580",0,0,0,0,0.191759428504254,71.57
"18620",0,0,0,0,0.156239754554233,51.57
"18660",0,0,0,0,0.135300401433559,33.84
"18700",0,0,0,0,0.147325576474783,45.3
"18740",0,0,0,0,0.15299760030563,48.86
"18820",0,0,0,0,0.117574925481849,19.78
"18860",0,0,0,0,0.082117115055333,3.35
"18880",0,0,0,0,0.177216751295456,65.95
"18900",0,0,0,0,0.15949461755413,54.7
"18980",0,0,0,0,0.178994546470771,66.59
"19060",0,0,0,0,0.148446946159123,45.95
"19100",0,0,0,0,0.383498427944602,99.68
"19140",0,0,0,0,0.13937816022771,38.38
"19180",0,0,0,0,0.123628328172174,24.11
"19220",0,0,0,0,0.161441781861718,56.54
"19260",0,0,0,0,0.161243664756001,56.11
"19300",0,0,0,0,0.235245336292378,86.05
"19340",0,0,0,0,0.230768146987192,84.65
"19430",0,0,0,0,0.267517841506825,91.57
"19460",0,0,0,0,0.186673218882064,68.97
"19500",0,0,0,0,0.136932120221693,35.14
"19540",0.0359132315354873,379.68072995308,1,1,0.220741804539189,81.19
"19580",0,0,0,0,0.135065273271114,33.73
"19620",0,0,0,0,0.102958718529377,10.05
"19660",4.0909500004091e-06,0.0432502121348241,1,0,0.255160847521282,89.19
"19700",0,0,0,0,0.0868579447701499,4.54
"19740",1.50678639851822e-05,0.159299994796474,1,0,0.332540378721923,97.84
"19760",0,0,0,0,0.120734828761367,22.16
"19780",0,0,0,0,0.266362397941439,91.14
"19810",0,0,0,0,0.149303274192739,46.7
"19820",4.74240219743948e-06,0.050137474436843,1,0,0.33243116384541,97.73
"19860",0,0,0,0,0.13817494481677,37.08
"19940",0,0,0,0,0.110917227266672,15.24
"19980",0,0,0,0,0.102395652034649,9.84
"20020",0,0,0,0,0.196862607052798,73.84
"20060",0,0,0,0,0.129012860941766,28.54
"20100",0,0,0,0,0.146931326200094,44.86
"20140",0,0,0,0,0.140858048585542,40
"20180",0,0,0,0,0.156302835635994,51.68
"20220",0,0,0,0,0.22732874656321,83.46
"20260",0,0,0,0,0.199726267813471,75.03
"20300",0,0,0,0,0.060252868065547,0.43
"20340",0,0,0,0,0.129386729806212,28.86
"20420",0,0,0,0,0.210656315654073,79.03
"20460",0,0,0,0,0.117467386555432,19.68
"20500",0,0,0,0,0.161435661470625,56.43
"20540",0,0,0,0,0.111761423509879,15.46
"20580",0,0,0,0,0.101035901099812,8.97
"20660",0,0,0,0,0.175924134751223,65.3
"20700",0,0,0,0,0.152132280125333,48.22
"20740",0,0,0,0,0.232577411188272,85.41
"20780",0,0,0,0,0.145160653085284,43.24
"20820",0,0,0,0,0.148436705714493,45.84
"20900",0,0,0,0,0.12315804555603,23.68
"20940",0,0,0,0,0.101666837210657,9.3
"20980",0,0,0,0,0.130241082826701,29.62
"21020",0,0,0,0,0.0981427200792936,8
"21060",0,0,0,0,0.146627762009939,44.22
"21120",0,0,0,0,0.09008738735434,5.51
"21140",0.0793658918243041,839.06956998433,1,1,0.375054939487778,99.46
"21180",0,0,0,0,0.11191435860291,15.57
"21220",0,0,0,0,0.110259718823663,14.92
"21260",0,0,0,0,0.139258693302818,38.16
"21300",0,0,0,0,0.18885258009589,69.95
"21340",0,0,0,0,0.186870562841286,69.3
"21380",0,0,0,0,0.10950698853344,14.27
"21420",0,0,0,0,0.141908107124049,41.08
"21460",0,0,0,0,0.136595160453792,35.03
"21500",0,0,0,0,0.239359199415066,86.92
"21540",0,0,0,0,0.163257447451828,57.62
"21580",0,0,0,0,0.0915325510116548,5.62
"21640",0,0,0,0,0.0797705858275011,2.92
"21660",0.00162074554294976,17.1347947401308,1,1,0.372163303195291,99.35
"21700",0,0,0,0,0.167757917985969,60.76
"21740",0,0,0,0,0.131579412869495,30.7
"21780",0,0,0,0,0.240915666588397,87.14
"21820",0,0,0,0,0.137852367759573,36.11
"21860",0,0,0,0,0.109814700473244,14.49
"21900",0,0,0,0,0.138959746629853,37.84
"21980",0,0,0,0,0.100354374474225,8.65
"22020",0,0,0,0,0.223285674763745,82.16
"22060",0,0,0,0,0.125245022027607,25.3
"22100",0,0,0,0,0.140557166082925,39.68
"22140",0,0,0,0,0.138623236376229,37.73
"22180",0,0,0,0,0.0916112240410389,5.73
"22190",0,0,0,0,0.116281810601624,19.03
"22220",0,0,0,0,0.233554970401388,85.84
"22260",0,0,0,0,0.171020294921265,63.35
"22300",0,0,0,0,0.146046429845039,43.89
"22340",0,0,0,0,0.0775754284656273,2.49
"22380",0,0,0,0,0.161006327592788,55.68
"22420",0,0,0,0,0.210868518316104,79.14
"22500",0,0,0,0,0.170717592659917,63.14
"22520",0,0,0,0,0.199185625205166,74.7
"22540",0,0,0,0,0.200483514443948,75.24
"22580",0,0,0,0,0.163455207076931,57.95
"22620",0,0,0,0,0.0839217006022149,3.78
"22660",0,0,0,0,0.255103169394802,89.08
"22700",0,0,0,0,0.118081110021444,20.11
"22780",0,0,0,0,0.0563771753920866,0.32
"22800",0,0,0,0,0.121160738747673,22.49
"22820",0,0,0,0,0.0979201684153239,7.68
"22840",0,0,0,0,0.138129727717152,36.97
"22900",0,0,0,0,0.22865275552275,83.89
"23060",0,0,0,0,0.298954767793292,95.68
"23140",0,0,0,0,0.104484258456772,10.7
"23180",0,0,0,0,0.136089632210937,34.49
"23190",0,0,0,0,0.112914719827378,16.65
"23240",0,0,0,0,0.17081061797373,63.24
"23300",0,0,0,0,0.121736395103679,23.03
