"county_geoid","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"01001",0,0,0,0,0.126075544016106,69.33
"01003",0,0,0,0,0.215451468840874,92.17
"01005",0,0,0,0,0.0640280833263109,24.02
"01007",0,0,0,0,0.066863333649866,26.54
"01009",0,0,0,0,0.127930364689956,70.19
"01011",0,0,0,0,0.0723168747663435,32.39
"01013",0,0,0,0,0.074948258582558,34.81
"01015",0,0,0,0,0.161264279635646,82.15
"01017",0,0,0,0,0.099297877044763,53.26
"01019",0,0,0,0,0.0891681291740103,46.8
"01021",0,0,0,0,0.117659992292904,64.62
"01023",0,0,0,0,0.0527384840335844,13.43
"01025",0,0,0,0,0.0878903535858544,45.37
"01027",0,0,0,0,0.0448279081874722,7.64
"01029",0,0,0,0,0.0646811816051124,24.66
"01031",0,0,0,0,0.119829528873057,66.21
"01033",0,0,0,0,0.155739811771181,80.75
"01035",0,0,0,0,0.0600410124888233,20.01
"01037",0,0,0,0,0.0559183935701376,16.61
"01039",0,0,0,0,0.109858684277003,60.71
"01041",0,0,0,0,0.0622052821550841,21.99
"01043",0,0,0,0,0.155392435630091,80.62
"01045",0,0,0,0,0.0755786348135339,35.6
"01047",0,0,0,0,0.110459299092507,60.99
"01049",0,0,0,0,0.127551715753959,70.09
"01051",0,0,0,0,0.122350721760728,67.45
"01053",0,0,0,0,0.099197552178079,53.17
"01055",0,0,0,0,0.156661781903822,80.97
"01057",0,0,0,0,0.0716122100854203,31.63
"01059",0,0,0,0,0.0753006699541725,35.32
"01061",0,0,0,0,0.0835517761418011,41.55
"01063",0,0,0,0,0.0454497158006488,8.15
"01065",0,0,0,0,0.0714041357574576,31.5
"01067",0,0,0,0,0.0752511486322028,35.25
"01069",0,0,0,0,0.189222024826976,88.1
"01071",0,0,0,0,0.124550018221608,68.57
"01073",0,0,0,0,0.242569867572252,95.58
"01075",0,0,0,0,0.069706396213261,29.53
"01077",0,0,0,0,0.163096589167067,82.41
"01079",0,0,0,0,0.0861404070985937,43.88
"01081",0,0,0,0,0.152752213740791,79.7
"01083",0,0,0,0,0.134858150884483,73.4
"01085",0,0,0,0,0.0510407541716093,11.96
"01087",0,0,0,0,0.0491714904887842,10.75
"01089",0,0,0,0,0.165369727293529,82.91
"01091",0,0,0,0,0.081699924091443,39.9
"01093",0,0,0,0,0.0745951920540291,34.43
"01095",0,0,0,0,0.143024032887241,76.52
"01097",0,0,0,0,0.234694771454397,94.72
"01099",0,0,0,0,0.0829454710185863,40.88
"01101",0,0,0,0,0.177189829453791,85.75
"01103",0,0,0,0,0.189365648687918,88.13
"01105",0,0,0,0,0.046809493533697,9.26
"01107",0,0,0,0,0.062492880598034,22.37
"01109",0,0,0,0,0.074662566617471,34.52
"01111",0,0,0,0,0.0874067967204371,44.89
"01113",0,0,0,0,0.108241499648406,59.75
"01115",0,0,0,0,0.170629419116178,84.28
"01117",6.05424604455925e-05,0.586074698870964,1,0,0.229091849952213,93.92
"01119",0,0,0,0,0.0607449861929416,20.71
"01121",0,0,0,0,0.124897434355408,68.76
"01123",0,0,0,0,0.0966207775104395,51.16
"01125",0,0,0,0,0.155365103994134,80.56
"01127",0,0,0,0,0.126991502861125,69.77
"01129",0,0,0,0,0.0501989336418922,11.49
"01131",0,0,0,0,0.0815423071225017,39.74
"01133",0,0,0,0,0.0853347258744026,43.05
"02013",0,0,0,0,0.0219236101754339,0.38
"02016",0,0,0,0,0.0313050599548668,1.75
"02020",0,0,0,0,0.185399112222476,87.27
"02050",0,0,0,0,0.0380322064035757,3.88
"02060",0,0,0,0,0.0325775050022902,2.07
"02063",0,0,0,0,0.0761082477922007,36.05
"02066",0,0,0,0,0.0666995210410555,26.38
"02068",0,0,0,0,0.0376346519358921,3.75
"02070",0,0,0,0,0.0309047308704731,1.59
"02090",0,0,0,0,0.134360639248628,73.21
"02100",0,0,0,0,0.0666427351820976,26.31
"02105",0,0,0,0,0.0408173426349719,5.66
"02110",0,0,0,0,0.101008191148031,54.57
"02122",0,0,0,0,0.150523245782386,78.94
"02130",0,0,0,0,0.083249688176821,41.2
"02150",0,0,0,0,0.0762296143922141,36.3
"02158",0,0,0,0,0.0213501864473772,0.32
"02164",0,0,0,0,0.0243005895290177,0.76
"02170",0,0,0,0,0.153640330316394,80.05
"02180",0,0,0,0,0.0421707669472172,6.2
"02185",0,0,0,0,0.0334935804609499,2.48
"02188",0,0,0,0,0.0236337299220896,0.57
"02195",0,0,0,0,0.0557799311366752,16.48
"02198",0,0,0,0,0.0452203469112045,7.86
"02220",0,0,0,0,0.0853798812662675,43.11
"02230",0,0,0,0,0.0523353554099028,13.17
"02240",0,0,0,0,0.0617075164375568,21.51
"02275",0,0,0,0,0.0421399139726448,6.17
"02282",0,0,0,0,0.041442853877833,5.95
"02290",0,0,0,0,0.039938632255951,5.19
"04001",0,0,0,0,0.0448217824622078,7.6
"04003",0,0,0,0,0.118104685074826,65
"04005",0,0,0,0,0.15541288589438,80.66
"04007",0,0,0,0,0.0878574295669657,45.28
"04009",0,0,0,0,0.0851262612633207,42.83
"04011",0,0,0,0,0.0221418546856476,0.48
"04012",0,0,0,0,0.0632585387150028,23.07
"04013",4.2123330813807e-05,0.407770319218026,1,0,0.310916935725066,99.2
"04015",0,0,0,0,0.187405024068874,87.72
"04017",0,0,0,0,0.116082040266915,63.82
"04019",0,0,0,0,0.205591972762329,90.74
"04021",0,0,0,0,0.144773424516978,77
"04023",0,0,0,0,0.110879071262979,61.22
"04025",0,0,0,0,0.195105566768891,89.15
"04027",0,0,0,0,0.128256638804049,70.41
"05001",0,0,0,0,0.0677526881530048,27.52
"05003",0,0,0,0,0.0873493251892632,44.86
"05005",0,0,0,0,0.128029749157024,70.28
"05007",1.84610840348545e-05,0.178710514685509,1,0,0.182548826209706,86.7
"05009",0,0,0,0,0.140228651929897,75.37
"05011",0,0,0,0,0.0571904220024484,17.47
"05013",0.407429072828312,3944.07279472423,1,1,0.0844036885333192,42.19
"05015",0,0,0,0,0.0891264483440946,46.71
"05017",0,0,0,0,0.0589568031413924,18.87
"05019",0,0,0,0,0.0704273228169976,30.29
"05021",0,0,0,0,0.0878761768210809,45.34
"05023",0,0,0,0,0.106802070445647,58.83
"05025",0,0,0,0,0.0426696673278994,6.36
"05027",0,0,0,0,0.084943510516922,42.67
"05029",0,0,0,0,0.086192253741488,44
"05031",0,0,0,0,0.179935743560287,86.29
"05033",0,0,0,0,0.132861087667247,72.54
"05035",0,0,0,0,0.118527688586955,65.29
"05037",0,0,0,0,0.0662192819380082,26.06
"05039",0,0,0,0,0.0542720708049533,14.99
"05041",0,0,0,0,0.0523228316462316,13.11
"05043",0,0,0,0,0.0864270661126607,44.26
"05045",0,0,0,0,0.189571784492915,88.23
"05047",0,0,0,0,0.0639476014687294,23.93
"05049",0,0,0,0,0.0732179796553194,33.25
"05051",0,0,0,0,0.186229578911773,87.37
"05053",0,0,0,0,0.0752809757591069,35.28
"05055",0,0,0,0,0.112834871987665,62.11
"05057",0,0,0,0,0.0770644743383867,36.97
"05059",0,0,0,0,0.0910239390309534,47.79
"05061",0,0,0,0,0.0635082438830289,23.42
"05063",0,0,0,0,0.101830086976829,55.23
"05065",0,0,0,0,0.0711291869618586,31.12
"05067",0,0,0,0,0.0640002817086854,23.99
"05069",0,0,0,0,0.122702289192537,67.58
"05071",0,0,0,0,0.0730099844013522,33.09
"05073",0,0,0,0,0.0487563198303164,10.5
"05075",0,0,0,0,0.0794786576076499,38.66
"05077",0,0,0,0,0.0457143238198794,8.24
"05079",0,0,0,0,0.0453727164474593,7.99
"05081",0,0,0,0,0.0551551806740941,15.78
"05083",0,0,0,0,0.0835158062119278,41.49
"05085",0,0,0,0,0.1345110689267,73.27
"05087",0,0,0,0,0.0838059455787406,41.71
"05089",0,0,0,0,0.0796944875184567,38.78
"05091",0,0,0,0,0.113013570289717,62.42
"05093",0,0,0,0,0.0887293981792573,46.17
"05095",0,0,0,0,0.0598557914255478,19.73
"05097",0,0,0,0,0.072913452844461,32.99
"05099",0,0,0,0,0.0476299869656316,9.83
"05101",0,0,0,0,0.0567559162030436,17.15
"05103",0.0188440622233464,182.417893355662,1,1,0.155001964172494,80.43
"05105",0,0,0,0,0.0684036299537214,27.9
"05107",0,0,0,0,0.0725767443464139,32.74
"05109",0,0,0,0,0.071185235722685,31.24
"05111",0,0,0,0,0.0646312506903559,24.56
"05113",0,0,0,0,0.0916300787638246,48.2
"05115",0,0,0,0,0.156882189242919,81.04
"05117",0,0,0,0,0.0473942706131443,9.64
"05119",3.10030520782379e-05,0.300121671255217,1,0,0.225281728070446,93.57
"05121",0,0,0,0,0.0729442729910641,33.03
"05123",0,0,0,0,0.0765930378374248,36.59
"05125",0,0,0,0,0.167207253047445,83.55
"05127",0,0,0,0,0.0448336884437174,7.67
"05129",0,0,0,0,0.0731258156400433,33.18
"05131",0.000202246282039182,1.95782312069074,1,1,0.283661701524678,98.09
"05133",0,0,0,0,0.0625489691894434,22.49
"05135",0,0,0,0,0.0925787542286182,48.81
"05137",0,0,0,0,0.0858676383453457,43.68
"05139",0,0,0,0,0.122690634001918,67.55
"05141",0,0,0,0,0.0806537259831427,39.23
"05143",0,0,0,0,0.203077379473544,90.49
"05145",0,0,0,0,0.141849401215999,75.98
"05147",0,0,0,0,0.0317485199793402,1.88
"05149",0,0,0,0,0.0705249174782507,30.35
"06001",0,0,0,0,0.290135745061562,98.47
"06003",0,0,0,0,0.0877075874872421,45.18
"06005",0,0,0,0,0.106742323257845,58.73
"06007",0,0,0,0,0.194877039328595,88.99
"06009",0,0,0,0,0.135242623293691,73.46
"06011",0,0,0,0,0.0606394004005219,20.55
"06013",0,0,0,0,0.232533726871839,94.4
"06015",0,0,0,0,0.0745963425422926,34.46
"06017",7.20855800005767e-05,0.697816611363908,1,0,0.172087689031351,84.63
"06019",0,0,0,0,0.201039256829397,90.14
"06021",0,0,0,0,0.0822047530488317,40.41
"06023",0,0,0,0,0.141097079766503,75.63
"06025",0,0,0,0,0.101964932309307,55.39
"06027",0,0,0,0,0.0876045782381185,45.05
"06029",0,0,0,0,0.14487190841304,77.09
"06031",0,0,0,0,0.0704326502458335,30.32
"06033",0,0,0,0,0.0959590545940128,50.75
"06035",0,0,0,0,0.0602313743932253,20.36
"06037",7.61365135301247e-07,0.00737031232491004,1,0,0.321732279814634,99.33
"06039",0,0,0,0,0.117906099838672,64.91
"06041",0,0,0,0,0.200415536768582,90.07
"06043",0,0,0,0,0.069128396875313,28.89
"06045",0,0,0,0,0.142524786011214,76.3
"06047",0,0,0,0,0.1209998891114,66.78
"06049",0,0,0,0,0.0602074042543351,20.3
"06051",0,0,0,0,0.0679289835156562,27.65
"06053",0,0,0,0,0.0973134632793754,51.8
"06055",0,0,0,0,0.129725898451892,71.27
"06057",0,0,0,0,0.199376004347056,89.88
"06059",9.70626679723393e-06,0.093960459295543,1,0,0.365288134324626,99.87
"06061",0,0,0,0,0.204823622712344,90.61
"06063",0,0,0,0,0.0872996589819617,44.8
"06065",0.000272039622259486,2.63344995435028,1,1,0.340572147145722,99.68
"06067",0,0,0,0,0.198380533807349,89.76
"06069",0,0,0,0,0.126670757999475,69.71
"06071",0,0,0,0,0.312483374525575,99.27
"06073",1.65416029585208e-06,0.0160129187043371,1,0,0.272892622231793,97.71
"06075",0,0,0,0,0.164443146850227,82.69
"06077",0,0,0,0,0.210185022721539,91.54
"06079",0,0,0,0,0.2003829705803,90.04
"06081",0,0,0,0,0.175211668582478,85.3
"06083",0,0,0,0,0.193311028473736,88.77
"06085",0,0,0,0,0.166754195012951,83.42
"06087",0,0,0,0,0.208707792083164,91.35
"06089",0,0,0,0,0.197735724674416,89.63
"06091",0,0,0,0,0.121332072790712,66.97
"06093",0,0,0,0,0.102128130387292,55.58
"06095",0,0,0,0,0.233785315084304,94.56
"06097",0,0,0,0,0.250413409954656,96.44
"06099",3.6074385382659e-05,0.349214161342136,1,0,0.22019004852525,93
"06101",0,0,0,0,0.144862771720413,77.06
"06103",0,0,0,0,0.0978127314549053,52.21
"06105",0,0,0,0,0.0848570859334577,42.63
"06107",0,0,0,0,0.153941096173209,80.15
"06109",0,0,0,0,0.128340002409134,70.51
"06111",0,0,0,0,0.284931810652529,98.12
"06113",0,0,0,0,0.154541400623173,80.31
"06115",0,0,0,0,0.0748632476551884,34.65
"08001",0,0,0,0,0.248665952438328,96.31
"08003",0,0,0,0,0.0876274532805073,45.08
"08005",0,0,0,0,0.224114902831354,93.41
"08007",0,0,0,0,0.11679484881327,64.24
"08009",0,0,0,0,0.0596088116626533,19.57
"08011",0,0,0,0,0.0447367460711444,7.51
"08013",0,0,0,0,0.232086433603053,94.3
"08014",0,0,0,0,0.166531380447837,83.36
"08015",0,0,0,0,0.124261787417299,68.44
"08017",0,0,0,0,0.0639593863338922,23.96
"08019",0,0,0,0,0.0853459856877181,43.08
"08021",0,0,0,0,0.069017318922315,28.7
"08023",0,0,0,0,0.0446579081355149,7.48
"08025",0,0,0,0,0.0242939509545218,0.73
"08027",0,0,0,0,0.0853169222912555,43.02
"08029",0,0,0,0,0.146743990087078,77.89
"08031",0,0,0,0,0.249527581420366,96.37
"08033",0,0,0,0,0.095881119993403,50.72
"08035",0,0,0,0,0.189474737590972,88.16
"08037",0,0,0,0,0.120551541748307,66.59
"08039",0,0,0,0,0.130689430334135,71.71
"08041",0,0,0,0,0.193165309378503,88.71
"08043",6.1050061050061e-05,0.59098847127501,1,0,0.117346346875117,64.49
"08045",0,0,0,0,0.148675107234591,78.43
"08047",0,0,0,0,0.0310316373785713,1.65
"08049",0,0,0,0,0.094432159650834,50.02
"08051",0,0,0,0,0.11283647498718,62.14
"08053",0,0,0,0,0.0498363689937967,11.29
"08055",0,0,0,0,0.0535465079095568,14.38
"08057",0,0,0,0,0.0634594425675864,23.32
"08059",3.57008978775816e-06,0.0345598656199806,1,0,0.244553737774501,95.96
"08061",0,0,0,0,0.0594205270591316,19.34
"08063",0,0,0,0,0.0643954482663036,24.4
"08065",0,0,0,0,0.0630167899238769,22.97
"08067",0,0,0,0,0.177393729210385,85.81
"08069",0,0,0,0,0.222616644970987,93.25
"08071",0,0,0,0,0.0779308857019667,37.51
"08073",0,0,0,0,0.0591939270604567,19.03
"08075",0,0,0,0,0.0862684713538249,44.13
"08077",0,0,0,0,0.228096656815115,93.86
"08079",0,0,0,0,0.0385771376320328,4.26
"08081",0,0,0,0,0.0898074147145124,47.18
"08083",0,0,0,0,0.134514469163387,73.31
"08085",0,0,0,0,0.181471247716261,86.38
"08087",0,0,0,0,0.0792600223663003,38.53
"08089",0,0,0,0,0.081920392233987,40.28
"08091",0,0,0,0,0.0970518655141137,51.54
"08093",0,0,0,0,0.121946164385847,67.17
"08095",0,0,0,0,0.0383266520453125,4.01
"08097",0,0,0,0,0.0884881252741255,45.94
"08099",0,0,0,0,0.064554667741742,24.5
"08101",0,0,0,0,0.169988760099013,84.03
"08103",0,0,0,0,0.0448148138682419,7.57
"08105",0,0,0,0,0.0675243832810647,27.27
"08107",0,0,0,0,0.146750841343754,77.92
"08109",0,0,0,0,0.0520924427246767,12.98
"08111",0,0,0,0,0.0720940781024846,32.13
"08113",0,0,0,0,0.0917577596614793,48.33
"08115",0,0,0,0,0.0514863920194626,12.38
"08117",0,0,0,0,0.102306721892892,55.71
"08119",0,0,0,0,0.10208991531577,55.52
"08121",0,0,0,0,0.0668550529122408,26.5
"08123",0,0,0,0,0.216641685199769,92.36
"08125",0,0,0,0,0.0556091214812601,16.23
"09110",3.50648348796926e-06,0.0339441317578166,1,0,0.258075905307254,96.98
"09120",0,0,0,0,0.236327509956147,94.91
"09130",0,0,0,0,0.2124532172386,91.82
"09140",0,0,0,0,0.285190050560951,98.15
"09150",0,0,0,0,0.20671599270276,91
"09160",0,0,0,0,0.205902235334984,90.84
"09170",0,0,0,0,0.246978808510524,96.18
"09180",0,0,0,0,0.167221563605066,83.58
"09190",0,0,0,0,0.257142223007723,96.88
"10001",0,0,0,0,0.145255288413932,77.28
"10003",0,0,0,0,0.196043610584463,89.41
"10005",0,0,0,0,0.182438691418603,86.64
"11001",0,0,0,0,0.0806200935213635,39.17
"12001",0,0,0,0,0.129873804597807,71.36
"12003",0,0,0,0,0.0725434288602881,32.64
"12005",0,0,0,0,0.186404642176113,87.56
"12007",0,0,0,0,0.0876653708467585,45.15
"12009",0,0,0,0,0.219295357955628,92.9
"12011",4.67959999593078e-05,0.453003584305329,1,0,0.294505191807262,98.7
"12013",0,0,0,0,0.0590578907726194,18.93
"12015",0,0,0,0,0.170520373544719,84.22
"12017",0,0,0,0,0.155383575761476,80.59
"12019",0,0,0,0,0.186270520235982,87.46
"12021",0,0,0,0,0.19189654230885,88.58
"12023",0,0,0,0,0.134695268844095,73.37
"12027",0,0,0,0,0.088873131900544,46.36
"12029",0,0,0,0,0.0680327947905381,27.71
"12031",0,0,0,0,0.272242302626843,97.61
"12033",0,0,0,0,0.186255978239394,87.43
"12035",0,0,0,0,0.163006266779255,82.37
"12037",0,0,0,0,0.0825321691154287,40.66
"12039",0,0,0,0,0.0747673803316,34.58
"12041",0,0,0,0,0.0663910926248676,26.22
"12043",0,0,0,0,0.0687913168005031,28.35
"12045",0,0,0,0,0.0891319425739727,46.74
"12047",0,0,0,0,0.0535030941144248,14.25
"12049",0,0,0,0,0.0791523037656724,38.43
"12051",0,0,0,0,0.0981332834119673,52.56
"12053",0,0,0,0,0.176449330848943,85.59
"12055",0,0,0,0,0.151490577241538,79.32
"12057",0,0,0,0,0.280889276450808,98
"12059",0,0,0,0,0.072875479992505,32.93
"12061",0,0,0,0,0.192324228944069,88.64
"12063",0,0,0,0,0.0949257272309761,50.27
"12065",0,0,0,0,0.0798551363514641,38.82
"12067",0,0,0,0,0.0470818557288929,9.48
"12069",0,0,0,0,0.207156748639997,91.06
"12071",0,0,0,0,0.212528597471729,91.85
"12073",0,0,0,0,0.162240748527056,82.25
"12075",0,0,0,0,0.120983485000719,66.75
"12077",0,0,0,0,0.0336155160640549,2.51
"12079",0,0,0,0,0.0705852538515741,30.54
"12081",5.58680025326828e-05,0.54082411781545,1,0,0.244086083997609,95.9
"12083",0,0,0,0,0.242440872292308,95.55
"12085",0,0,0,0,0.196316058711526,89.47
"12086",6.6720576892796e-07,0.0064588128270874,1,0,0.291611824987989,98.57
"12087",0,0,0,0,0.1336570028097,72.76
"12089",0,0,0,0,0.170858097035256,84.31
"12091",0,0,0,0,0.14232745723641,76.17
"12093",0,0,0,0,0.107895992578264,59.4
"12095",0,0,0,0,0.225695492994777,93.64
"12097",0,0,0,0,0.177333601911528,85.78
"12099",0,0,0,0,0.245286514888294,96.02
"12101",0,0,0,0,0.217291560471581,92.55
"12103",0,0,0,0,0.314576779099299,99.3
"12105",0,0,0,0,0.23748152818055,95.07
"12107",0,0,0,0,0.122023025611502,67.26
"12109",0,0,0,0,0.195446397249953,89.28
"12111",7.6160012185602e-05,0.737258708667746,1,0,0.205117616518315,90.68
"12113",0,0,0,0,0.176088073072423,85.46
"12115",0,0,0,0,0.225873615285303,93.7
"12117",0,0,0,0,0.246706343912388,96.15
"12119",0,0,0,0,0.132142240422547,72.22
"12121",0,0,0,0,0.0981129420203069,52.53
"12123",0.0159305993690852,154.214433297784,1,1,0.155581195808834,80.69
"12125",0,0,0,0,0.0414411520347373,5.92
"12127",0,0,0,0,0.234116255524043,94.59
"12129",0,0,0,0,0.103667417120214,56.57
"12131",0,0,0,0,0.156812375773378,81.01
"12133",0,0,0,0,0.0726294754335105,32.77
"13001",0,0,0,0,0.0785470455335397,37.99
"13003",0,0,0,0,0.0566517703095068,17.12
"13005",0,0,0,0,0.0630835241692978,23
"13007",0,0,0,0,0.0671826747355891,26.85
"13009",0,0,0,0,0.0973739996390826,51.83
"13011",0,0,0,0,0.0758782996831658,35.76
"13013",0,0,0,0,0.157617370692438,81.2
"13015",0,0,0,0,0.18478199762549,87.18
"13017",0,0,0,0,0.0649133879291217,24.82
"13019",0,0,0,0,0.0691589213684074,29.05
"13021",0,0,0,0,0.18292650645002,86.8
"13023",0,0,0,0,0.0592902153795112,19.06
"13025",0,0,0,0,0.0556402114224554,16.26
"13027",0,0,0,0,0.0591336274791856,18.99
"13029",0,0,0,0,0.117222386822251,64.46
"13031",0,0,0,0,0.135412095221998,73.53
"13033",0,0,0,0,0.0728512971398513,32.9
"13035",0,0,0,0,0.0693453330341228,29.3
"13037",0,0,0,0,0.0345156681854908,2.83
"13039",0,0,0,0,0.0857783877547077,43.56
"13043",0,0,0,0,0.0727154762472058,32.83
"13045",0,0,0,0,0.144683229430694,76.96
"13047",0,0,0,0,0.137921093550011,74.36
"13049",0,0,0,0,0.0581183978498278,18.2
"13051",0,0,0,0,0.199619542552535,89.91
"13053",0,0,0,0,0.0203789368871832,0.25
"13055",0,0,0,0,0.0640620265703924,24.09
"13057",0,0,0,0,0.222134586736727,93.16
"13059",0,0,0,0,0.141527712793108,75.82
"13061",0,0,0,0,0.0427927869015251,6.4
"13063",0,0,0,0,0.144577592911093,76.9
"13065",0,0,0,0,0.0723741826957427,32.42
"13067",0,0,0,0,0.256789786236757,96.85
"13069",0,0,0,0,0.103888580447487,56.76
"13071",0,0,0,0,0.09358676918255,49.67
"13073",0,0,0,0,0.157043408662111,81.1
"13075",0,0,0,0,0.0789517226528704,38.18
"13077",0,0,0,0,0.175373248442779,85.36
"13079",0,0,0,0,0.0529095634034894,13.71
"13081",0,0,0,0,0.0862223156929612,44.07
"13083",0,0,0,0,0.0629788430494643,22.88
"13085",0,0,0,0,0.112862206835735,62.17
"13087",0,0,0,0,0.0934107527255035,49.51
"13089",0,0,0,0,0.219787256250593,92.94
"13091",0,0,0,0,0.0706560379680646,30.64
"13093",0,0,0,0,0.0493475015673981,10.88
"13095",0,0,0,0,0.14371383454917,76.77
"13097",0,0,0,0,0.168512326230683,83.84
"13099",0,0,0,0,0.0573925720363647,17.66
"13101",0,0,0,0,0.0443162246541522,7.19
"13103",0,0,0,0,0.106574857945638,58.61
"13105",0,0,0,0,0.0855323937628499,43.3
"13107",0,0,0,0,0.0787775860503348,38.12
"13109",0,0,0,0,0.0586814879510032,18.61
"13111",0,0,0,0,0.114934352230392,63.32
"13113",0,0,0,0,0.209532405763781,91.44
"13115",0,0,0,0,0.145074694676535,77.16
"13117",0,0,0,0,0.227668392597049,93.83
"13119",0,0,0,0,0.0993972536534265,53.39
"13121",0,0,0,0,0.233346228896595,94.46
"13123",0,0,0,0,0.10581191810961,57.94
"13125",0,0,0,0,0.0544804093893764,15.21
"13127",0,0,0,0,0.153367734684255,79.99
"13129",0,0,0,0,0.108239226494397,59.72
"13131",0,0,0,0,0.0809072433455284,39.42
"13133",0,0,0,0,0.0887931321052271,46.26
"13135",0,0,0,0,0.335210081314258,99.59
"13137",0,0,0,0,0.0998517987997387,53.67
"13139",0,0,0,0,0.193092808585915,88.67
"13141",0,0,0,0,0.0778607253642274,37.48
"13143",0,0,0,0,0.0979279641643101,52.4
"13145",0,0,0,0,0.0825178841292496,40.6
"13147",0,0,0,0,0.084283834241925,42.06
"13149",0,0,0,0,0.065217938119315,25.33
"13151",0,0,0,0,0.144350521166881,76.87
"13153",0,0,0,0,0.1024974542005,55.9
"13155",0,0,0,0,0.0453429861996752,7.95
"13157",0,0,0,0,0.116074368727899,63.79
"13159",0,0,0,0,0.0939817609262933,49.86
"13161",0,0,0,0,0.0724470864511638,32.55
