"state_fips","industry_employment_share","location_quotient","industry_present","industry_comparative_advantage","industry_feasibility","industry_feasibility_percentile_score"
"01",0.000331055930478255,1.60554052735461,1,1,0.194382812962813,33.33
"02",0,0,0,0,0.147113935315906,9.8
"04",6.89456799050646e-05,0.33436973357851,1,0,0.280568424879458,90.2
"05",0.000215611638689135,1.04566386587503,1,1,0.175758037639162,19.61
"06",0.000341913600500808,1.65819757907596,1,1,0.287608907106206,96.08
"08",0.000146038854801398,0.708252830914024,1,1,0.240148995762951,64.71
"09",0.000398070516401716,1.93054492606323,1,1,0.287201719227967,94.12
"10",3.80670322370662e-06,0.0184615822844288,1,0,0.197346380559672,37.25
"11",0,0,0,0,0.105306711755566,1.96
"12",8.56261307155893e-06,0.0415265852104929,1,0,0.265620328353824,84.31
"13",4.29348292769883e-05,0.208223451365672,1,1,0.214752074274704,47.06
"15",0,0,0,0,0.186501276813791,23.53
"16",4.94780569866046e-05,0.239956510043467,1,1,0.223891191751614,54.9
"17",0.000745281964507829,3.61443577402514,1,1,0.340908476724657,100
"18",0.000771777905474986,3.74293462608229,1,1,0.222181616298118,52.94
"19",0.000230470844026032,1.11772738800619,1,1,0.180486403206118,21.57
"20",0.000181699718273669,0.881199322047649,1,1,0.197988342050948,41.18
"21",0.000430324917403241,2.08697090495653,1,1,0.205761052472015,43.14
"22",2.68260955163591e-05,0.130100021105133,1,1,0.192879341917011,29.41
"23",0,0,0,0,0.197869038134994,39.22
"24",1.20442403966992e-05,0.0584116286639742,1,0,0.196021894386131,35.29
"25",0.000151664872252457,0.735537643520252,1,1,0.254949906466411,74.51
"26",0.000751200717498532,3.64314028260847,1,1,0.2788087713315,88.24
"27",5.89492299756834e-05,0.285889389281078,1,1,0.241129343033829,68.63
"28",2.03075617838764e-05,0.0984867221942516,1,1,0.135020802162637,3.92
"29",4.02854283638104e-05,0.195374503053003,1,1,0.227374984833641,60.78
"30",1.65557705966203e-06,0.00802914498950676,1,1,0.193392579613486,31.37
"31",5.0441577538964e-05,0.244629349746165,1,1,0.18760737527549,25.49
"32",0.00039448578487878,1.91315985239472,1,1,0.240631427949914,66.67
"33",0.000380195684391027,1.84385634999284,1,1,0.265053843465971,82.35
"34",4.65196701734143e-05,0.225609055468929,1,1,0.275009547779834,86.27
"35",2.00924251557163e-06,0.00974433620136003,1,0,0.168760637960897,17.65
"36",5.57458846448149e-05,0.270353945634466,1,1,0.220892249808987,50.98
"37",2.89094199639117e-05,0.140203636610049,1,1,0.214855168988864,49.02
"38",0,0,0,0,0.154498754472754,11.76
"39",0.000538497830895254,2.61158315498496,1,1,0.282983354057075,92.16
"40",9.04407684501723e-05,0.438615670959515,1,1,0.209374123468761,45.1
"41",1.97154875908929e-05,0.0956153067489443,1,0,0.254129666286217,72.55
"42",0.000289048641471385,1.40181542009738,1,1,0.262832356669963,78.43
"44",0.000265797437209845,1.28905274976015,1,1,0.25954345003077,76.47
"45",9.43888705890058e-05,0.45776300349899,1,1,0.224039008721375,56.86
"46",1.87007469078315e-06,0.00906940619035282,1,0,0.159685656696105,15.69
"47",0.000205547572529026,0.996855599348308,1,1,0.225731543309858,58.82
"48",0.000134458075769592,0.652088876844264,1,1,0.264224080382692,80.39
"49",1.3062067286366e-05,0.063347840858785,1,0,0.297441207794001,98.04
"50",5.30603240030943e-05,0.257329631456732,1,1,0.189187345823393,27.45
"51",1.74346073080708e-05,0.0845535936214236,1,1,0.154552427820108,13.73
"53",1.52241012255401e-05,0.0738331782029783,1,1,0.234695952930062,62.75
"54",0.000259827656315566,1.26010076828878,1,1,0.135735669171082,5.88
"55",0.000227348003918229,1.10258237505843,1,1,0.252890477135772,70.59
"56",3.07689467481839e-06,0.0149221888026169,1,0,0.142348218220249,7.84
