"csa_geoid","csa_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"388","Montgomery-Selma, AL CSA",220,-0.239129286235629,52.49,"01001|01047|01051|01085|01101","01","Alabama",5,1
"380","Mobile-Daphne-Fairhope, AL CSA",288,0.256744641830582,70.17,"01003|01097","01","Alabama",2,1
"142","Birmingham-Cullman-Talladega, AL CSA",291,-0.511417827485732,36.46,"01007|01009|01021|01037|01043|01073|01115|01117|01121|01127","01","Alabama",10,1
"122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA",374,1.25488764436231,87.29,"01017|13013|13015|13035|13045|13057|13059|13063|13067|13077|13085|13089|13097|13113|13115|13117|13121|13129|13135|13137|13139|13143|13149|13151|13157|13159|13187|13195|13199|13211|13217|13219|13221|13223|13227|13231|13233|13247|13255|13285|13293|13297","01|13","Alabama|Georgia",42,2
"222","Dothan-Enterprise-Ozark, AL CSA",202,-0.637099344022399,29.28,"01031|01045|01061|01067|01069","01","Alabama",5,1
"250","Florence-Muscle Shoals-Russellville, AL CSA",212,-0.875291712369046,16.57,"01033|01059|01077","01","Alabama",3,1
"290","Huntsville-Decatur-Albertville, AL-TN CSA",218,-0.846705802713638,17.68,"01049|01079|01083|01089|01095|01103|47103","01|47","Alabama|Tennessee",7,2
"174","Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",304,-0.79163861916803,22.1,"01071|13047|13055|13083|13213|13295|13313|47011|47065|47107|47115|47121|47139|47153","01|13|47","Alabama|Georgia|Tennessee",14,3
"194","Columbus-Auburn-Opelika, GA-AL CSA",179,-0.515486330182602,35.36,"01081|01087|01113|01123|13053|13145|13197|13215|13259|13263","01|13","Alabama|Georgia",10,2
"429","Phoenix-Mesa, AZ CSA",316,1.99858363522973,94.48,"04007|04013|04021","04","Arizona",3,1
"536","Tucson-Nogales, AZ CSA",219,1.28512303826364,88.95,"04019|04023","04","Arizona",2,1
"340","Little Rock-North Little Rock, AR CSA",266,-0.399895361273843,40.88,"05025|05045|05053|05069|05085|05105|05119|05125|05145","05","Arkansas",9,1
"308","Jonesboro-Paragould, AR CSA",205,-0.791321891431199,22.65,"05031|05055|05111","05","Arkansas",3,1
"368","Memphis-Clarksdale-Forrest City, TN-MS-AR CSA",275,0.309541844742294,73.48,"05035|05123|28009|28027|28033|28093|28137|28143|47047|47157|47167","05|28|47","Arkansas|Mississippi|Tennessee",11,3
"284","Hot Springs-Malvern, AR CSA",225,0.177982598311676,66.3,"05051|05059","05","Arkansas",2,1
"488","San Jose-San Francisco-Oakland, CA CSA",275,3.20078058747416,98.9,"06001|06013|06041|06047|06055|06069|06075|06077|06081|06085|06087|06095|06099","06","California",13,1
"456","Reno-Carson City-Gardnerville Ranchos, NV-CA CSA",306,0.633167307040536,79.56,"06003|32001|32005|32019|32029|32031|32510","06|32","California|Nevada",7,2
"152","Brookings-Crescent City, OR-CA CSA",139,0.646787784345156,80.11,"06015|41015","06|41","California|Oregon",2,2
"472","Sacramento-Roseville, CA CSA",251,1.56367920319635,91.16,"06017|06057|06061|06067|06101|06113|06115","06","California",7,1
"260","Fresno-Hanford-Corcoran, CA CSA",199,0.00150183352109818,60.77,"06019|06031|06039","06","California",3,1
"348","Los Angeles-Long Beach, CA CSA",353,2.43035776743269,96.69,"06037|06059|06065|06071|06111","06","California",5,1
"454","Redding-Red Bluff, CA CSA",227,0.229172303850774,67.4,"06089|06103","06","California",2,1
"216","Denver-Aurora-Greeley, CO CSA",346,2.42928921165314,96.13,"08001|08005|08013|08014|08019|08031|08035|08039|08047|08059|08093|08123","08","Colorado",12,1
"233","Edwards-Rifle, CO CSA",182,2.26387911440405,95.58,"08037|08045|08097","08","Colorado",3,1
"444","Pueblo-Cañon City, CO CSA",205,0.0154001030593495,61.88,"08043|08101","08","Colorado",2,1
"405","New Haven-Hartford-Waterbury, CT CSA",262,0.308391721255416,72.93,"09110|09130|09140|09150|09160|09170|09180","09","Connecticut",7,1
"408","New York-Newark, NY-NJ-CT-PA CSA",286,3.26395647773647,99.45,"09120|09190|34003|34013|34017|34019|34021|34023|34025|34027|34029|34031|34035|34037|34039|36005|36027|36047|36059|36061|36071|36079|36081|36085|36087|36103|36105|36111|36119|42103","09|34|36|42","Connecticut|New Jersey|New York|Pennsylvania",30,4
"428","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",303,0.889722887969382,82.87,"10001|10003|24015|34001|34005|34007|34009|34011|34015|34033|42011|42017|42029|42045|42091|42101","10|24|34|42","Delaware|Maryland|New Jersey|Pennsylvania",16,4
