"commuting_zone_geoid","commuting_zone_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"1","Montgomery, AL",216,0.573908996790087,75,"01001|01011|01013|01041|01051|01085|01101|01109","01","Alabama",8,1
"2","Mobile, AL",297,0.357831187248142,69.56,"01003|01025|01097|01129|01131","01","Alabama",5,1
"3","Dothan, AL",210,-0.334154954621622,40.65,"01005|01031|01045|01061|01067|01069|13037|13061|13099|13239|13243","01|13","Alabama|Georgia",11,2
"4","Tuscaloosa, AL",197,-0.306398104448422,43.2,"01007|01047|01063|01065|01091|01105|01107|01119|01125","01","Alabama",9,1
"5","Birmingham, AL",298,0.596327039129296,76.7,"01009|01021|01043|01073|01115|01117|01127|01133","01","Alabama",8,1
"6","Anniston--Oxford, AL",226,-0.150497358020678,50,"01015|01027|01029|01037|01111|01121|01123|13045|13143|13149","01|13","Alabama|Georgia",10,2
"7","Columbus, GA-AL",212,0.357939281849005,69.73,"01017|01081|01087|01113|13053|13077|13145|13197|13199|13215|13263|13269|13285","01|13","Alabama|Georgia",13,2
"8","Gadsden, AL",229,-0.378662624728117,38.95,"01019|01049|01055|01071|01095","01","Alabama",5,1
"9","Meridian, MS",167,-0.739288457205067,23.3,"01023|28023|28069|28075|28079|28099|28101|28123","01|28","Alabama|Mississippi",8,2
"10","Huntsville, AL",233,0.654215430557868,77.72,"01033|01059|01077|01079|01083|01089|01103|47103","01|47","Alabama|Tennessee",8,2
"11","Andalusia, AL",183,-0.92194218475964,17.69,"01035|01039|01053|01099","01","Alabama",4,1
"12","Hamilton, AL",125,-0.911824782124966,17.86,"01057|01075|01093","01","Alabama",3,1
"565","Akutan, AK",33,-0.245146286929764,45.41,"02013","02","Alaska",1,1
"566","Unalaska, AK",45,0.782193238551712,80.44,"02016","02","Alaska",1,1
"567","Anchorage, AK",235,1.02021864539029,84.18,"02020|02063|02066|02170|02282","02","Alaska",5,1
"568","Bethel, AK",60,0.593013697679055,76.53,"02050","02","Alaska",1,1
"569","Kenai, AK",192,0.222094012217714,64.29,"02060|02122|02164","02","Alaska",3,1
"570","Fairbanks, AK",165,0.143493664244351,60.88,"02068|02090|02240|02290","02","Alaska",4,1
"571","Dillingham, AK",49,0.223012614473028,64.46,"02070","02","Alaska",1,1
"572","Haines, AK",98,0.287049571214402,66.84,"02100","02","Alaska",1,1
"573","Juneau, AK",140,1.28659845984676,89.12,"02105|02110","02","Alaska",2,1
"574","Ketchikan, AK",116,0.505649453781291,73.3,"02130","02","Alaska",1,1
"575","Kodiak--Mill Bay, AK",103,0.516008180145576,73.81,"02150","02","Alaska",1,1
"576","Hooper Bay, AK",33,-0.22145339461486,46.6,"02158","02","Alaska",1,1
"577","Nome, AK",65,-0.0657729349942973,53.4,"02180","02","Alaska",1,1
"578","Utqiaġvik, AK",51,-0.07688575501042,53.23,"02185","02","Alaska",1,1
"579","Kotzebue, AK",39,0.384307764435787,70.41,"02188","02","Alaska",1,1
"580","Petersburg, AK",89,0.243665262532193,64.97,"02195","02","Alaska",1,1
"581","Metlakatla, AK",69,0.285700450925085,66.67,"02198","02","Alaska",1,1
"582","Sitka, AK",119,1.10308861009292,86.22,"02220","02","Alaska",1,1
"583","Skagway, AK",72,0.865148039493278,81.97,"02230","02","Alaska",1,1
"584","Wrangell, AK",61,0.577993986939322,75.51,"02275","02","Alaska",1,1
"13","Gallup, NM",132,-0.625814384934488,27.89,"04001|04017|35006|35031","04|35","Arizona|New Mexico",4,2
"14","Tucson, AZ",216,1.21734361107238,87.59,"04003|04019|04023","04","Arizona",3,1
"15","Prescott--Prescott Valley, AZ",227,0.563354175464401,74.66,"04005|04025|49025","04|49","Arizona|Utah",3,2
"16","Phoenix--Mesa--Scottsdale, AZ",316,2.14441175643154,96.26,"04007|04013|04021","04","Arizona",3,1
"17","Safford, AZ",130,-0.967711065335985,15.99,"04009|04011|35003|35017|35023|35029","04|35","Arizona|New Mexico",6,2
"18","Los Angeles--Long Beach--Anaheim, CA",355,2.73870061509653,98.81,"04012|04015|06037|06059|06065|06071|06111","04|06","Arizona|California",7,2
"19","Yuma, AZ-CA",152,-0.310063249176845,42.86,"04027|06025","04|06","Arizona|California",2,2
"20","Helena-West Helena, AR",144,-1.07213611303206,13.1,"05001|05037|05077|05095|05107|05117|05123","05","Arkansas",7,1
"21","Pine Bluff, AR",169,-1.00767696974623,15.14,"05003|05011|05017|05025|05041|05043|05069|05079","05","Arkansas",8,1
"22","Mountain Home, AR",172,-0.0993036724333992,52.38,"05005|05089|29153","05|29","Arkansas|Missouri",3,2
"23","Fayetteville--Springdale--Rogers, AR-MO",238,0.784661680273791,80.78,"05007|05087|05143|29119","05|29","Arkansas|Missouri",4,2
"24","Harrison, AR",174,-0.511054020665934,34.01,"05009|05015|05101","05","Arkansas",3,1
"25","El Dorado, AR",153,-0.73162645404681,23.64,"05013|05039|05103|05139","05","Arkansas",4,1
"26","Hot Springs, AR",209,-0.444889025692786,37.07,"05019|05051|05057|05059|05061|05097|05099|05109","05","Arkansas",8,1
"27","Jonesboro, AR",205,-0.43684822800085,37.41,"05021|05031|05055|05075|05111|05121","05","Arkansas",6,1
"28","Heber Springs, AR",157,-0.392339357829599,38.78,"05023|05129|05141","05","Arkansas",3,1
"29","Magnolia, AR",113,-0.999100087856225,15.48,"05027|05073","05","Arkansas",2,1
"30","Little Rock, AR",256,0.576295195852182,75.34,"05029|05045|05053|05085|05105|05119|05125","05","Arkansas",7,1
"31","Fort Smith, AR-OK",231,-0.0993763332466786,52.21,"05033|05047|05083|05127|05131|40135","05|40","Arkansas|Oklahoma",6,2
"32","Memphis, TN-MS-AR",270,1.45395734796195,91.84,"05035|28009|28033|28093|28137|28143|47047|47157|47167","05|28|47","Arkansas|Mississippi|Tennessee",9,3
"33","Batesville, AR",160,-0.563260894972199,30.78,"05049|05063|05065|05135|05137","05","Arkansas",5,1
"34","Searcy, AR",172,-0.75784555027598,22.79,"05067|05145|05147","05","Arkansas",3,1
