"state_fips","state_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","state_abbreviation"
"01","Alabama",335,-1.42258096716404,1.96,"AL"
"02","Alaska",226,0.849722879137142,80.39,"AK"
"04","Arizona",316,0.757432471014579,76.47,"AZ"
"05","Arkansas",347,-1.25478872562691,9.8,"AR"
"06","California",338,1.71337472546382,96.08,"CA"
"08","Colorado",353,0.867376308022124,82.35,"CO"
"09","Connecticut",302,0.639002744742071,72.55,"CT"
"10","Delaware",220,0.549884618684015,70.59,"DE"
"11","District of Columbia",115,2.74094521856963,100,"DC"
"12","Florida",372,1.09040958866447,88.24,"FL"
"13","Georgia",374,-0.379514202059099,43.14,"GA"
"15","Hawaii",221,1.69082520272106,94.12,"HI"
"16","Idaho",344,0.0837236815549239,52.94,"ID"
"17","Illinois",418,-0.302309030650185,47.06,"IL"
"18","Indiana",389,-1.39888871720926,3.92,"IN"
"19","Iowa",303,-1.35042510616404,7.84,"IA"
"20","Kansas",281,-1.11475497185053,15.69,"KS"
"21","Kentucky",357,-1.37258146794329,5.88,"KY"
"22","Louisiana",301,-0.371295870675976,45.1,"LA"
"23","Maine",275,0.330767865077778,60.78,"ME"
"24","Maryland",257,1.27937965182014,90.2,"MD"
"25","Massachusetts",308,1.31768317225333,92.16,"MA"
"26","Michigan",373,-0.760963165437126,25.49,"MI"
"27","Minnesota",354,-0.467032272653639,41.18,"MN"
"28","Mississippi",294,-1.22195088901441,11.76,"MS"
"29","Missouri",372,-0.952473991679793,21.57,"MO"
"30","Montana",316,0.213571321616587,54.9,"MT"
"31","Nebraska",271,-0.759435184970438,29.41,"NE"
"32","Nevada",250,0.922052170560976,84.31,"NV"
"33","New Hampshire",334,0.288773294495536,58.82,"NH"
"34","New Jersey",347,0.975239101564154,86.27,"NJ"
"35","New Mexico",243,0.374318191974158,64.71,"NM"
"36","New York",288,1.9145628665994,98.04,"NY"
"37","North Carolina",353,-0.671509369928497,35.29,"NC"
"38","North Dakota",229,-0.685188853799092,33.33,"ND"
"39","Ohio",396,-1.20646654914528,13.73,"OH"
"40","Oklahoma",283,-0.841874046487982,23.53,"OK"
"41","Oregon",343,0.362686701111512,62.75,"OR"
"42","Pennsylvania",399,-0.566669484021067,39.22,"PA"
"44","Rhode Island",273,0.693896194621756,74.51,"RI"
"45","South Carolina",380,-0.612668939150507,37.25,"SC"
"46","South Dakota",281,-0.720775321058193,31.37,"SD"
"47","Tennessee",383,-0.97628857188346,19.61,"TN"
"48","Texas",364,-0.121700307153862,50.98,"TX"
"49","Utah",392,0.280343774172707,56.86,"UT"
"50","Vermont",291,0.435190449297827,66.67,"VT"
"51","Virginia",258,0.491728691984767,68.63,"VA"
"53","Washington",290,0.792525541950278,78.43,"WA"
"54","West Virginia",252,-0.760477349194858,27.45,"WV"
"55","Wisconsin",388,-1.09366815642945,17.65,"WI"
"56","Wyoming",231,-0.269134916323764,49.02,"WY"
