"industry_code","industry_ubiquity","industry_complexity","industry_complexity_percentile"
"111000",438,-1.45812107954216,5.07
"112000",454,-1.73877579090294,1.69
"113110",255,-1.05269861157425,13.41
"113210",213,-0.806090563776682,20.27
"113310",362,-1.33870929479705,6.12
"114111",161,0.239036615947685,65.79
"114112",122,-0.00911891029930295,55.76
"114119",88,0.836035142154138,81.1
"114210",318,-1.35201772703384,5.7
"115111",129,-2.00316877371307,0.42
"115112",366,-1.62013236212172,2.53
"115113",168,-1.77223799163978,1.37
"115114",161,-1.41610315895878,5.39
"115115",354,-1.88521050044075,0.74
"115116",156,-1.47602391186829,4.65
"115210",389,-1.18528737743173,9.71
"115310",258,-0.895505677509582,17.21
"211120",115,-1.74155522538373,1.58
"211130",120,-1.62595988189291,2.22
"212114",50,-1.56116507035319,3.59
"212115",33,-1.59879068301006,2.75
"212210",12,-1.15883067244555,10.24
"212220",21,0.540490715738098,75.08
"212230",23,0.578249703647007,75.4
"212290",28,0.645508987502642,77.61
"212311",118,-0.488127443825374,33.37
"212312",224,-1.1012275680968,11.3
"212313",72,-0.00871898015647464,55.86
"212319",144,-0.147661274822284,49.31
"212321",344,-0.854832208910113,18.69
"212322",63,-0.876591528880213,17.74
"212323",35,-0.276543470389035,42.87
"212390",89,-0.602934433832876,29.04
"213111",123,-1.6665274623286,2.11
"213112",136,-2.00991978533662,0.32
"213113",60,-1.20946469956502,9.08
"213114",54,0.43759381827105,72.86
"213115",97,-0.610346599070373,28.62
"221111",123,-0.252672769934845,44.56
"221112",213,-0.937457153722648,16.37
"221113",40,0.597334542390319,76.14
"221114",85,1.26953914904192,88.28
"221115",90,-1.22636432310529,8.24
"221116",20,0.414821123544577,72.02
"221117",63,0.345843768003403,70.43
"221118",65,0.452333675867023,73.5
"221121",115,-0.605051347992244,28.72
"221122",468,-1.40232197833397,5.49
"221210",288,-1.18994144598273,9.5
"221310",377,-1.03396436287411,13.94
"221320",180,-0.150457228606801,49.21
"221330",46,1.46692587397064,91.02
"236115",418,-0.280454815061678,42.34
"236116",146,0.787204048235468,80.25
"236117",298,-0.18689097365083,47.41
"236118",365,-0.0553823964215643,53.01
"236210",232,-1.52472535017821,4.12
"236220",311,-0.743637251328583,22.91
"237110",364,-0.7945970765786,20.59
"237120",176,-1.62045381074019,2.43
"237130",301,-1.15584105229895,10.45
"237210",184,0.142899729309682,61.99
"237310",370,-0.858237620273122,18.59
"237990",271,-0.772741638355889,21.54
"238110",347,-0.685372963291731,25.24
"238120",227,-0.660202279556546,26.4
"238130",234,-0.188374325606794,47.2
"238140",298,-0.217233812830703,46.36
"238150",273,-0.331752259094298,40.65
"238160",302,-0.244459644875958,44.77
"238170",398,-0.728991314997706,23.65
"238190",333,-0.944462124322551,15.95
"238210",287,-0.215248611834916,46.46
"238220",332,-0.127019057482589,50.58
"238290",273,-1.04253511747992,13.73
"238310",220,0.496770025773001,74.13
"238320",292,0.355131160297078,70.75
"238330",303,0.152989718449051,62.3
"238340",242,0.530732981295403,74.55
"238350",343,-0.180452083412522,47.84
"238390",175,0.522005830939421,74.45
"238910",570,-1.00385764532562,14.78
"238990",384,-0.597445357800091,29.36
"311111",121,-1.22639591654,8.13
"311119",298,-1.6694999836872,2.01
"311211",115,-0.641864546847444,27.24
"311212",27,-1.37506211830638,5.6
"311213",49,0.0541291926809711,58.08
"311221",32,-1.00495482901222,14.57
