"industry_code","industry_ubiquity","industry_complexity","industry_complexity_percentile"
"111000",1640,-2.30546026951172,0.95
"112000",1700,-2.41177654789039,0.84
"113110",668,-1.33581067857597,9.5
"113210",462,-1.07360909338122,16.16
"113310",1367,-1.95653363947896,2.75
"114111",506,-1.0452276567258,17.32
"114112",421,-1.22604980227259,11.83
"114119",186,0.0995572054988937,50.9
"114210",972,-1.74444933340692,4.75
"115111",342,-2.1436901462229,1.69
"115112",1443,-2.48284089430094,0.63
"115113",501,-2.51306631438237,0.42
"115114",468,-2.09718041676467,2.11
"115115",1800,-2.68063566752534,0.11
"115116",560,-2.24874588721935,1.27
"115210",1607,-2.131639791453,1.9
"115310",900,-1.74918561571881,4.54
"211120",377,-2.45933133118595,0.74
"211130",326,-1.93744449570665,2.96
"212114",130,-1.59563537654188,5.7
"212115",88,-1.32770604203642,9.82
"212210",18,-0.0601070093505471,46.25
"212220",56,-1.42120748184812,8.66
"212230",40,-0.754768304318723,23.97
"212290",58,-0.911325598597927,19.54
"212311",283,-1.29436511827403,10.77
"212312",587,-1.20148231200016,12.57
"212313",182,0.18881548200637,54.38
"212319",298,-0.741790166346698,24.5
"212321",863,-1.30899664831252,10.35
"212322",136,-1.02679538545934,17.74
"212323",98,-1.17124198946663,13.62
"212390",212,-1.22111834824782,12.14
"213111",431,-2.18687012700279,1.48
"213112",541,-2.54006693601769,0.32
"213113",150,-1.33091710291613,9.61
"213114",109,-0.737408129390803,24.71
"213115",185,-0.535528421898232,29.67
"221111",270,-0.855880210801877,21.33
"221112",463,-0.786808293437724,22.81
"221113",63,0.464202412233057,65.68
"221114",173,0.489185020737065,66.53
"221115",229,-1.73364152691807,4.86
"221116",28,-0.080255010546265,45.51
"221117",100,0.296946543309255,58.82
"221118",123,0.882790836939253,80.57
"221121",249,-0.499016848896106,31.05
"221122",1486,-1.72506577242054,4.96
"221210",678,-1.15746422926335,14.57
"221310",1057,-1.48638662644813,7.92
"221320",385,-0.450590486735753,32.52
"221330",74,1.87761535166295,97.57
"236115",1552,-1.50067240947078,7.71
"236116",387,0.159087734585832,53.01
"236117",958,-1.07186434612651,16.26
"236118",1406,-1.32738852081537,9.93
"236210",579,-1.11616024973653,15.42
"236220",925,-1.1732366214649,13.52
"237110",1187,-1.59427890543348,5.91
"237120",498,-1.59000777114225,6.02
"237130",889,-1.3098426451817,10.24
"237210",631,-1.15832187990131,14.26
"237310",990,-1.00601771808318,18.06
"237990",946,-1.51570588472468,6.97
"238110",1253,-1.50421614509383,7.5
"238120",655,-0.870259917448942,20.59
"238130",908,-1.45859844772309,8.34
"238140",1038,-1.1032078981799,15.63
"238150",635,-0.0921119087906067,44.77
"238160",831,-0.763081843487653,23.55
"238170",1220,-1.26907980606211,11.19
"238190",1014,-1.46675051201049,8.24
"238210",919,-0.938886309276738,19.01
"238220",1011,-0.658246646192972,27.24
"238290",838,-1.13850204994202,14.89
"238310",749,-0.85613359063818,21.22
"238320",1039,-0.926139810031255,19.22
"238330",1054,-1.06763571094339,16.47
"238340",684,-0.560164324061377,28.72
"238350",1337,-1.32530524186569,10.03
"238390",594,-0.268102661546305,38.65
"238910",2171,-1.78773158281685,4.22
"238990",1437,-1.44540654452936,8.45
"311111",226,-0.270259483096332,38.54
"311119",735,-1.65875005544547,5.28
"311211",225,-0.839192198679137,22.07
"311212",59,-1.51846547413539,6.86
"311213",73,0.226187942286918,55.86
"311221",55,-0.896482389900564,20.06
"311224",188,-1.4752211123514,8.13
"311225",143,-0.382451723218053,34.64
"311230",101,-0.20930238792403,40.87
"311313",27,-1.51333341634319,7.18
"311314",33,0.521850403541536,68.32
"311340",179,0.560871938950942,70.01
"311351",97,1.49288829824683,94.93
