"industry_code","industry_ubiquity","industry_complexity","industry_complexity_percentile"
"111000",21,-0.583616466559006,31.26
"112000",22,-0.941612841019332,18.16
"113110",17,-0.373301210619559,39.49
"113210",23,-0.215351235870778,46.04
"113310",23,-0.661610456174326,28.62
"114111",15,1.30583471171029,88.38
"114112",9,1.13004929784162,84.79
"114119",11,0.812948651627559,77.61
"114210",15,-0.420299249207544,37.59
"115111",14,-1.22460928442095,11.3
"115112",21,-0.38954064754554,38.86
"115113",12,-0.0676857839934271,50.69
"115114",9,0.441456055127162,66.74
"115115",15,-0.573560309050554,31.57
"115116",6,0.308545666363112,63.67
"115210",21,-1.15292959128433,12.99
"115310",16,-0.334933781286219,41.08
"211120",10,-0.104462861940377,49.1
"211130",10,0.0119094640946608,54.49
"212114",13,-0.874558588028942,20.38
"212115",10,-0.716628154683878,26.5
"212210",4,-0.788450450869837,24.29
"212220",6,0.632002206739845,73.28
"212230",8,0.528505600116472,69.69
"212290",8,0.134447879008313,58.18
"212311",20,-1.07134966536715,14.68
"212312",18,-1.57153408472648,4.44
"212313",11,0.00494739339616106,54.28
"212319",21,-0.0251731065854951,52.48
"212321",28,-0.206981329762699,46.36
"212322",10,-1.38814691371186,6.86
"212323",11,-0.852875014089102,21.86
"212390",14,0.363233330797094,64.73
"213111",13,-0.332150042716826,41.18
"213112",12,-0.151254102545799,47.62
"213113",12,-0.55692073068542,32.31
"213114",11,0.641974969660855,73.39
"213115",16,0.140155359133066,58.39
"221111",19,0.786966500780376,77.19
"221112",22,-0.565782369629627,31.78
"221113",18,-0.637214395532657,29.36
"221114",11,1.6891579504961,94.51
"221115",14,-0.385273634849136,38.97
"221116",6,0.526309430208371,69.27
"221117",14,0.445357608805413,66.95
"221118",14,0.14817854512671,58.61
"221121",20,-0.293161583936641,43.61
"221122",28,-0.498176787471222,34.21
"221210",15,-0.0830387671996399,50.05
"221310",23,-0.0187932714549954,52.59
"221320",24,-0.3265764147599,41.61
"221330",13,0.532959387758585,69.9
"236115",24,0.6082652356282,72.54
"236116",15,1.23571795596393,86.48
"236117",22,-0.303428040774374,42.45
"236118",21,1.51127237056141,91.24
"236210",20,-0.914241612077027,19.43
"236220",28,-0.0531765468353854,51.11
"237110",22,0.151867531755163,58.82
"237120",12,-0.421261862078966,37.49
"237130",27,-0.600863755258659,30.62
"237210",13,0.586587016068614,72.02
"237310",30,-0.402368227192765,38.33
"237990",19,-0.126856765557843,48.15
"238110",23,-0.25668119264975,44.46
"238120",17,-0.0436797831831292,51.64
"238130",18,0.716347347753217,75.5
"238140",27,0.434768802394759,66.53
"238150",15,1.74930644206857,95.56
"238160",17,0.569444145063764,71.17
"238170",24,-0.830039298825154,22.6
"238190",18,0.119887153548107,57.87
"238210",28,0.217711549010524,60.93
"238220",26,-0.102910263417974,49.21
"238290",25,-0.750045236559389,25.77
"238310",22,0.949569113851786,80.57
"238320",20,1.28535745400707,87.75
"238330",23,0.667442950617913,74.34
"238340",13,1.81215711900603,96.52
"238350",21,0.242648965256751,61.99
"238390",18,0.221168734975155,61.03
"238910",33,-0.41367073146602,37.7
"238990",20,0.111514166822845,57.44
"311111",19,-1.40973462561107,6.65
"311119",22,-1.41842907175043,6.55
"311211",19,-1.16692322500151,12.35
"311212",5,-0.778006571292585,24.71
"311213",11,-0.424323220828731,37.38
"311221",7,-1.99189035608238,0.63
"311224",17,-1.66084154114429,3.06
"311225",18,-1.0372791690039,15.42
"311230",15,-0.437010115842248,36.33
"311313",8,-0.346536525771131,40.65
"311314",6,0.324929598155512,63.99
"311340",12,-0.599179960764368,30.73
"311351",9,0.605322580118089,72.33
"311352",17,-0.0470565387181953,51.53
"311411",13,-0.255655226096629,44.56
"311412",18,-0.885008388021329,19.96
"311421",15,-0.362807323068407,39.92
"311422",10,-1.32330460922151,8.66
"311423",11,-0.029309453750635,52.16
"311511",22,-0.0479559704227712,51.43
"311512",12,-0.359193810512081,40.23
"311513",11,-0.295018621880949,43.51
"311514",16,-1.21369609835938,11.51
"311520",20,-0.102247651987599,49.31
"311611",16,-1.00195058648188,16.68
"311612",17,-1.56563837348902,4.54
"311613",18,-1.4635201087501,5.91
"311615",17,-1.35733918766334,7.5
"311710",12,0.527186906500156,69.48
"311811",16,0.965657233708374,80.99
"311812",19,0.094734513589634,56.92
"311813",15,-0.301940414107729,42.77
"311821",17,-0.936863074120801,18.37
"311824",20,-0.501359794862603,34.11
"311830",15,-0.300534505698616,42.98
"311911",14,0.161258507859997,59.35
"311919",15,-0.816312868537693,23.13
"311920",21,0.530249289117743,69.8
