"industry_code","industry_description","industry_employment_share_nation"
"111000","Crop Production",0.00507595938158635
"112000","Animal Production",0.00265160687353591
"113110","Timber Tract Operations",2.52976512467405e-05
"113210","Forest Nurseries and Gathering of Forest Products",1.70371936967844e-05
"113310","Logging",0.000357000913308311
"114111","Finfish Fishing",6.95656727141094e-05
"114112","Shellfish Fishing",6.79996276369302e-05
"114119","Other Marine Fishing",9.52247189786605e-06
"114210","Hunting and Trapping",3.84857011823996e-05
"115111","Cotton Ginning",3.50151617256472e-05
"115112","Soil Preparation, Planting, and Cultivating",0.000198233771912384
"115113","Crop Harvesting, Primarily by Machine",6.93591612753605e-05
"115114","Postharvest Crop Activities (except Cotton Ginning)",0.000493057532870712
"115115","Farm Labor Contractors and Crew Leaders",0.00196368858891904
"115116","Farm Management Services",0.000132534452245962
"115210","Support Activities for Animal Production",0.000251450622392205
"115310","Support Activities for Forestry",0.000144282658539233
"211120","Crude Petroleum Extraction",0.000485347772490754
"211130","Natural Gas Extraction",0.000218982435077794
"212114","Surface Coal Mining",0.000105544554487251
"212115","Underground Coal Mining",0.000133067940129397
"212210","Iron Ore Mining",3.04661736443172e-05
"212220","Gold Ore and Silver Ore Mining",9.45191382296018e-05
"212230","Copper, Nickel, Lead, and Zinc Mining",0.000115497258549178
"212290","Other Metal Ore Mining",2.75291220709995e-05
"212311","Dimension Stone Mining and Quarrying",4.49334472144487e-05
"212312","Crushed and Broken Limestone Mining and Quarrying",0.000138311036102077
"212313","Crushed and Broken Granite Mining and Quarrying",3.6816400385846e-05
"212319","Other Crushed and Broken Stone Mining and Quarrying",4.77328244952671e-05
"212321","Construction Sand and Gravel Mining",0.000193145559518765
"212322","Industrial Sand Mining",5.17540611220166e-05
"212323","Kaolin, Clay, and Ceramic and Refractory Minerals Mining",3.63460132198068e-05
"212390","Other Nonmetallic Mineral Mining and Quarrying",7.25314064316978e-05
"213111","Drilling Oil and Gas Wells",0.000258512166311647
"213112","Support Activities for Oil and Gas Operations",0.00129184377795147
"213113","Support Activities for Coal Mining",2.88198185631801e-05
"213114","Support Activities for Metal Mining",2.85215242627651e-05
"213115","Support Activities for Nonmetallic Minerals (except Fuels) Mining",1.93030830941682e-05
"221111","Hydroelectric Power Generation",4.76639873490175e-05
"221112","Fossil Fuel Electric Power Generation",0.000427375422490853
"221113","Nuclear Electric Power Generation",0.0002133033705122
"221114","Solar Electric Power Generation",9.6171229739593e-05
"221115","Wind Electric Power Generation",6.69670704431857e-05
"221116","Geothermal Electric Power Generation",6.20681602017534e-06
"221117","Biomass Electric Power Generation",1.40944056946126e-05
"221118","Other Electric Power Generation",2.84240049722447e-05
"221121","Electric Bulk Power Transmission and Control",0.000166494111062448
"221122","Electric Power Distribution",0.00132264266446932
"221210","Natural Gas Distribution",0.000679021083464099
"221310","Water Supply and Irrigation Systems",0.000320253350068714
"221320","Sewage Treatment Facilities",4.45605793389298e-05
"221330","Steam and Air-Conditioning Supply",8.8799918662028e-06
"236115","New Single-Family Housing Construction (except For-Sale Builders)",0.00313584751525781
"236116","New Multifamily Housing Construction (except For-Sale Builders)",0.000314522657643432
"236117","New Housing For-Sale Builders",0.000564883358553352
"236118","Residential Remodelers",0.00453924762513566
"236210","Industrial Building Construction",0.000985214446411326
"236220","Commercial and Institutional Building Construction",0.00471610746313754
"237110","Water and Sewer Line and Related Structures Construction",0.00127632100147217
"237120","Oil and Gas Pipeline and Related Structures Construction",0.000851027902655372
"237130","Power and Communication Line and Related Structures Construction",0.00142827326538939
"237210","Land Subdivision",0.000245111868508385
"237310","Highway, Street, and Bridge Construction",0.00222850509054138
"237990","Other Heavy and Civil Engineering Construction",0.000857567431549088
"238110","Poured Concrete Foundation and Structure Contractors",0.00171979857975659
"238120","Structural Steel and Precast Concrete Contractors",0.000544708338273355
"238130","Framing Contractors",0.00063332469121205
"238140","Masonry Contractors",0.00104144865846842
"238150","Glass and Glazing Contractors",0.000497130397357149
"238160","Roofing Contractors",0.00170564680977343
"238170","Siding Contractors",0.000349664020803871
"238190","Other Foundation, Structure, and Building Exterior Contractors",0.000377066941440079
"238210","Electrical Contractors and Other Wiring Installation Contractors",0.0069573474257351
"238220","Plumbing, Heating, and Air-Conditioning Contractors",0.00818295839613671
"238290","Other Building Equipment Contractors",0.00101962154667843
