industry_id,industry_code,industry_description
1,111000,Crop Production
2,112000,Animal Production
3,113110,Timber Tract Operations
4,113210,Forest Nurseries and Gathering of Forest Products
5,113310,Logging
6,114111,Finfish Fishing
7,114112,Shellfish Fishing
8,114119,Other Marine Fishing
9,114210,Hunting and Trapping
10,115111,Cotton Ginning
11,115112,"Soil Preparation, Planting, and Cultivating"
12,115113,"Crop Harvesting, Primarily by Machine"
13,115114,Postharvest Crop Activities (except Cotton Ginning)
14,115115,Farm Labor Contractors and Crew Leaders
15,115116,Farm Management Services
16,115210,Support Activities for Animal Production
17,115310,Support Activities for Forestry
18,211120,Crude Petroleum Extraction
19,211130,Natural Gas Extraction
20,212114,Surface Coal Mining
21,212115,Underground Coal Mining
22,212210,Iron Ore Mining
23,212220,Gold Ore and Silver Ore Mining
24,212230,"Copper, Nickel, Lead, and Zinc Mining"
25,212290,Other Metal Ore Mining
26,212311,Dimension Stone Mining and Quarrying
27,212312,Crushed and Broken Limestone Mining and Quarrying
28,212313,Crushed and Broken Granite Mining and Quarrying
29,212319,Other Crushed and Broken Stone Mining and Quarrying
30,212321,Construction Sand and Gravel Mining
31,212322,Industrial Sand Mining
32,212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining"
33,212390,Other Nonmetallic Mineral Mining and Quarrying
34,213111,Drilling Oil and Gas Wells
35,213112,Support Activities for Oil and Gas Operations
36,213113,Support Activities for Coal Mining
37,213114,Support Activities for Metal Mining
38,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
39,221111,Hydroelectric Power Generation
40,221112,Fossil Fuel Electric Power Generation
41,221113,Nuclear Electric Power Generation
42,221114,Solar Electric Power Generation
43,221115,Wind Electric Power Generation
44,221116,Geothermal Electric Power Generation
45,221117,Biomass Electric Power Generation
46,221118,Other Electric Power Generation
47,221121,Electric Bulk Power Transmission and Control
48,221122,Electric Power Distribution
49,221210,Natural Gas Distribution
50,221310,Water Supply and Irrigation Systems
51,221320,Sewage Treatment Facilities
52,221330,Steam and Air-Conditioning Supply
53,236115,New Single-Family Housing Construction (except For-Sale Builders)
54,236116,New Multifamily Housing Construction (except For-Sale Builders)
55,236117,New Housing For-Sale Builders
56,236118,Residential Remodelers
57,236210,Industrial Building Construction
58,236220,Commercial and Institutional Building Construction
59,237110,Water and Sewer Line and Related Structures Construction
60,237120,Oil and Gas Pipeline and Related Structures Construction
61,237130,Power and Communication Line and Related Structures Construction
62,237210,Land Subdivision
63,237310,"Highway, Street, and Bridge Construction"
64,237990,Other Heavy and Civil Engineering Construction
65,238110,Poured Concrete Foundation and Structure Contractors
66,238120,Structural Steel and Precast Concrete Contractors
67,238130,Framing Contractors
68,238140,Masonry Contractors
69,238150,Glass and Glazing Contractors
70,238160,Roofing Contractors
71,238170,Siding Contractors
72,238190,"Other Foundation, Structure, and Building Exterior Contractors"
73,238210,Electrical Contractors and Other Wiring Installation Contractors
74,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
75,238290,Other Building Equipment Contractors
76,238310,Drywall and Insulation Contractors
77,238320,Painting and Wall Covering Contractors
78,238330,Flooring Contractors
79,238340,Tile and Terrazzo Contractors
80,238350,Finish Carpentry Contractors
81,238390,Other Building Finishing Contractors
82,238910,Site Preparation Contractors
83,238990,All Other Specialty Trade Contractors
84,311111,Dog and Cat Food Manufacturing
85,311119,Other Animal Food Manufacturing
86,311211,Flour Milling
87,311212,Rice Milling
88,311213,Malt Manufacturing
89,311221,Wet Corn Milling and Starch Manufacturing
90,311224,Soybean and Other Oilseed Processing
91,311225,Fats and Oils Refining and Blending
92,311230,Breakfast Cereal Manufacturing
93,311313,Beet Sugar Manufacturing
94,311314,Cane Sugar Manufacturing
95,311340,Nonchocolate Confectionery Manufacturing
96,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
97,311352,Confectionery Manufacturing from Purchased Chocolate
98,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
99,311412,Frozen Specialty Food Manufacturing
100,311421,Fruit and Vegetable Canning
101,311422,Specialty Canning
102,311423,Dried and Dehydrated Food Manufacturing
103,311511,Fluid Milk Manufacturing
104,311512,Creamery Butter Manufacturing
105,311513,Cheese Manufacturing
106,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
107,311520,Ice Cream and Frozen Dessert Manufacturing
108,311611,Animal (except Poultry) Slaughtering
109,311612,Meat Processed from Carcasses
110,311613,Rendering and Meat Byproduct Processing
111,311615,Poultry Processing
112,311710,Seafood Product Preparation and Packaging
113,311811,Retail Bakeries
114,311812,Commercial Bakeries
115,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
116,311821,Cookie and Cracker Manufacturing
117,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
118,311830,Tortilla Manufacturing
119,311911,Roasted Nuts and Peanut Butter Manufacturing
120,311919,Other Snack Food Manufacturing
121,311920,Coffee and Tea Manufacturing
122,311930,Flavoring Syrup and Concentrate Manufacturing
123,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
124,311942,Spice and Extract Manufacturing
125,311991,Perishable Prepared Food Manufacturing
126,311999,All Other Miscellaneous Food Manufacturing
127,312111,Soft Drink Manufacturing
128,312112,Bottled Water Manufacturing
129,312113,Ice Manufacturing
130,312120,Breweries
131,312130,Wineries
132,312140,Distilleries
133,312230,Tobacco Manufacturing
134,313110,"Fiber, Yarn, and Thread Mills"
135,313210,Broadwoven Fabric Mills
136,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
137,313230,Nonwoven Fabric Mills
138,313240,Knit Fabric Mills
139,313310,Textile and Fabric Finishing Mills
140,313320,Fabric Coating Mills
141,314110,Carpet and Rug Mills
142,314120,Curtain and Linen Mills
143,314910,Textile Bag and Canvas Mills
144,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
145,314999,All Other Miscellaneous Textile Product Mills
146,315120,Apparel Knitting Mills
147,315210,Cut and Sew Apparel Contractors
148,315250,Cut and Sew Apparel Manufacturing (except Contractors)
149,315990,Apparel Accessories and Other Apparel Manufacturing
150,316110,Leather and Hide Tanning and Finishing
151,316210,Footwear Manufacturing
152,316990,Other Leather and Allied Product Manufacturing
153,321113,Sawmills
154,321114,Wood Preservation
155,321211,Hardwood Veneer and Plywood Manufacturing
156,321212,Softwood Veneer and Plywood Manufacturing
157,321215,Engineered Wood Member Manufacturing
158,321219,Reconstituted Wood Product Manufacturing
159,321911,Wood Window and Door Manufacturing
160,321912,"Cut Stock, Resawing Lumber, and Planing"
161,321918,Other Millwork (including Flooring)
162,321920,Wood Container and Pallet Manufacturing
163,321991,Manufactured Home (Mobile Home) Manufacturing
164,321992,Prefabricated Wood Building Manufacturing
165,321999,All Other Miscellaneous Wood Product Manufacturing
166,322110,Pulp Mills
167,322120,Paper Mills
168,322130,Paperboard Mills
169,322211,Corrugated and Solid Fiber Box Manufacturing
170,322212,Folding Paperboard Box Manufacturing
171,322219,Other Paperboard Container Manufacturing
172,322220,Paper Bag and Coated and Treated Paper Manufacturing
173,322230,Stationery Product Manufacturing
174,322291,Sanitary Paper Product Manufacturing
175,322299,All Other Converted Paper Product Manufacturing
176,323111,Commercial Printing (except Screen and Books)
177,323113,Commercial Screen Printing
178,323117,Books Printing
179,323120,Support Activities for Printing
180,324110,Petroleum Refineries
181,324121,Asphalt Paving Mixture and Block Manufacturing
182,324122,Asphalt Shingle and Coating Materials Manufacturing
183,324191,Petroleum Lubricating Oil and Grease Manufacturing
184,324199,All Other Petroleum and Coal Products Manufacturing
185,325110,Petrochemical Manufacturing
186,325120,Industrial Gas Manufacturing
187,325130,Synthetic Dye and Pigment Manufacturing
188,325180,Other Basic Inorganic Chemical Manufacturing
189,325193,Ethyl Alcohol Manufacturing
190,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
191,325199,All Other Basic Organic Chemical Manufacturing
192,325211,Plastics Material and Resin Manufacturing
193,325212,Synthetic Rubber Manufacturing
194,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
195,325311,Nitrogenous Fertilizer Manufacturing
196,325312,Phosphatic Fertilizer Manufacturing
