cbsa_geoid,cbsa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
33860,"Montgomery, AL Metro Area",210,0.42262555639749283,72.97,-0.49258536510029177,86.05
19300,"Daphne-Fairhope-Foley, AL Metro Area",245,0.5778537010978446,76.11,-3.906553682699501,70.49
21640,"Eufaula, AL-GA Micro Area",98,-0.9772972399366451,13.3,-9.368105451305587,20.11
13820,"Birmingham, AL Metro Area",281,0.3025174321744814,68.97,11.919790584234883,99.35
11500,"Anniston-Oxford, AL Metro Area",163,-0.5702680292821188,32.86,-3.4766645019876714,74.05
29300,"LaGrange, GA-AL Micro Area",140,-0.41359043930923267,41.51,-5.0474509153855704,63.03
21460,"Enterprise, AL Micro Area",147,-0.4643040935931304,38.81,-5.789441777461321,55.89
22520,"Florence-Muscle Shoals, AL Metro Area",204,-0.4564624805204196,39.35,1.469827704647675,90.49
45180,"Talladega-Sylacauga, AL Micro Area",144,-1.0534187133498152,9.41,-5.585967792552501,58.16
18980,"Cullman, AL Micro Area",178,-0.7319984077718492,25.3,-1.4133651158998042,82.7
37120,"Ozark, AL Micro Area",90,-0.3647197962543817,43.46,-7.435885263480314,41.08
42820,"Selma, AL Micro Area",138,-0.99094398807661,12.22,-5.953074377510727,55.03
22840,"Fort Payne, AL Micro Area",144,-1.2656933495917286,4.11,-5.140398824395257,61.95
23460,"Gadsden, AL Metro Area",167,-0.7930393959211719,22.05,-4.904092810029733,64.11
40770,"Russellville, AL Micro Area",98,-1.2722447794824638,3.68,-10.081997072833023,13.73
20020,"Dothan, AL Metro Area",209,-0.30624263748698916,46.49,0.7388743311260745,89.3
46220,"Tuscaloosa, AL Metro Area",172,-0.588399507669745,32.32,-2.238476472947455,80.22
42460,"Scottsboro, AL Micro Area",145,-0.8535320688525436,19.03,-5.126170011106596,62.16
19460,"Decatur, AL Metro Area",196,-0.5518244134144513,34.16,1.8870223565153985,91.03
12220,"Auburn-Opelika, AL Metro Area",167,-0.06574742592139013,56.43,-5.492303247433356,59.14
26620,"Huntsville, AL Metro Area",167,1.1423546524709731,85.95,-6.031917849511368,54.27
10700,"Albertville, AL Micro Area",158,-0.8296775921885666,20.54,-3.944820294070383,70.27
33660,"Mobile, AL Metro Area",256,0.2006948774847948,65.95,6.903666875483581,96.86
45980,"Troy, AL Micro Area",91,-1.2281621584183677,5.3,-10.318986695855541,12.11
17980,"Columbus, GA-AL Metro Area",164,0.16550072352189296,64.76,-4.347219475254351,67.46
10760,"Alexander City, AL Micro Area",120,-0.7628632470108175,23.46,-8.458830194580848,30.49
11260,"Anchorage, AK Metro Area",238,1.4850423650072322,90.81,-12.310996860268,6.7
21820,"Fairbanks-College, AK Metro Area",160,0.6792365554264665,77.95,-9.90111981670516,15.35
27940,"Juneau, AK Micro Area",139,2.0097166109439333,95.46,-10.156071955478907,13.19
28540,"Ketchikan, AK Micro Area",116,1.0727072046842103,84.22,-9.392604926771154,19.57
43420,"Sierra Vista-Douglas, AZ Metro Area",155,0.5684517251459823,75.89,-8.09574976054363,33.51
22380,"Flagstaff, AZ Metro Area",177,1.1247248119480875,85.19,-11.729531123198688,7.78
37740,"Payson, AZ Micro Area",111,-0.2974984858760466,46.81,-11.014050089211882,9.51
40940,"Safford, AZ Micro Area",112,-0.6460077464994285,29.51,-10.556212239327705,11.24
