csa_geoid,csa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
388,"Montgomery-Selma, AL CSA",220,-0.23912928623562887,52.49,1.969864721489793,55.25
380,"Mobile-Daphne-Fairhope, AL CSA",288,0.2567446418305816,70.17,1.058527248946315,49.72
142,"Birmingham-Cullman-Talladega, AL CSA",291,-0.5114178274857322,36.46,16.87921089755556,90.61
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA",374,1.2548876443623087,87.29,-18.155194616307543,8.29
222,"Dothan-Enterprise-Ozark, AL CSA",202,-0.6370993440223993,29.28,1.6486012869253692,53.04
250,"Florence-Muscle Shoals-Russellville, AL CSA",212,-0.8752917123690461,16.57,4.748186951223995,64.09
290,"Huntsville-Decatur-Albertville, AL-TN CSA",218,-0.8467058027136383,17.68,6.672703030027117,71.82
174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",304,-0.7916386191680298,22.1,24.49794181518428,95.58
194,"Columbus-Auburn-Opelika, GA-AL CSA",179,-0.5154863301826024,35.36,-0.6331472498235133,39.78
429,"Phoenix-Mesa, AZ CSA",316,1.9985836352297293,94.48,-32.52672839863436,3.31
536,"Tucson-Nogales, AZ CSA",219,1.2851230382636363,88.95,-10.055909937425245,13.81
340,"Little Rock-North Little Rock, AR CSA",266,-0.39989536127384334,40.88,8.603666824406265,76.8
308,"Jonesboro-Paragould, AR CSA",205,-0.791321891431199,22.65,2.6070571923928645,59.67
368,"Memphis-Clarksdale-Forrest City, TN-MS-AR CSA",275,0.3095418447422944,73.48,2.1320490542356536,56.35
284,"Hot Springs-Malvern, AR CSA",225,0.177982598311676,66.3,-2.3505320407460126,32.6
488,"San Jose-San Francisco-Oakland, CA CSA",275,3.200780587474159,98.9,-38.58721348509829,2.76
456,"Reno-Carson City-Gardnerville Ranchos, NV-CA CSA",306,0.6331673070405364,79.56,-3.9641991752310095,23.2
152,"Brookings-Crescent City, OR-CA CSA",139,0.6467877843451556,80.11,-5.207887389478771,19.34
472,"Sacramento-Roseville, CA CSA",251,1.5636792031963516,91.16,-14.423500077795772,10.5
260,"Fresno-Hanford-Corcoran, CA CSA",199,0.0015018335210981771,60.77,-0.4008025307732337,41.99
348,"Los Angeles-Long Beach, CA CSA",353,2.430357767432691,96.69,-49.42320046778654,1.66
454,"Redding-Red Bluff, CA CSA",227,0.22917230385077408,67.4,-2.344928285154337,33.15
216,"Denver-Aurora-Greeley, CO CSA",346,2.4292892116531415,96.13,-49.99747610117447,1.1
233,"Edwards-Rifle, CO CSA",182,2.263879114404053,95.58,-10.72972493558961,13.26
444,"Pueblo-Cañon City, CO CSA",205,0.015400103059349508,61.88,-3.4737238001469852,25.97
405,"New Haven-Hartford-Waterbury, CT CSA",262,0.3083917212554162,72.93,2.817578913095253,60.22
408,"New York-Newark, NY-NJ-CT-PA CSA",286,3.263956477736474,99.45,-45.86104205507768,2.21
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",303,0.8897228879693823,82.87,-4.221805515634584,22.65
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",206,3.34781665320921,100,-17.038465566771436,9.39
264,"Gainesville-Lake City, FL CSA",184,0.350747469759504,74.03,-4.396417300512073,20.99
300,"Jacksonville-Kingsland-Palatka, FL-GA CSA",309,1.5953319444636989,92.27,-22.22544157723128,6.08
370,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA",365,2.8397333176861386,98.34,-70.97551554458522,0.55
412,"North Port-Bradenton, FL CSA",280,1.6032533143994483,92.82,-19.345620223422273,7.73
163,"Cape Coral-Fort Myers-Naples, FL CSA",263,1.5775412384885028,91.71,-17.534100047857812,8.84
422,"Orlando-Lakeland-Deltona, FL CSA",292,2.006514373850661,95.03,-29.28198659405967,3.87
533,"Tallahassee-Bainbridge, FL-GA CSA",180,1.2688952287678856,87.85,-5.6092216030175654,18.23
356,"Macon-Bibb County--Warner Robins, GA CSA",166,-0.1884827389538175,53.04,-3.279002390574811,27.62
496,"Savannah-Hinesville-Statesboro, GA CSA",228,0.2589007366067657,70.72,-0.6042167638126069,41.44
147,"Boise City-Mountain Home-Ontario, ID-OR CSA",322,0.9753865910944975,84.53,-9.670858168413373,14.36
292,"Idaho Falls-Rexburg-Blackfoot, ID CSA",247,0.2795355434149736,71.27,-1.1782615013280384,37.57
518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",318,0.3522399344724726,74.59,1.207483228620429,50.83
446,"Pullman-Moscow, WA-ID CSA",128,0.12037583736598365,65.19,-4.351417685905847,21.55
482,"Salt Lake City-Provo-Orem, UT-ID CSA",365,1.5445678890703671,90.61,-27.027130516708077,4.97
