commuting_zone_geoid,commuting_zone_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile
1,"Montgomery, AL",216,0.5739089967900867,75,-1.777506210012766,65.65
2,"Mobile, AL",297,0.35783118724814167,69.56,9.697956841587846,96.09
3,"Dothan, AL",210,-0.3341549546216223,40.65,1.1811711105334102,77.38
4,"Tuscaloosa, AL",197,-0.30639810444842225,43.2,-0.43680805143191,72.96
5,"Birmingham, AL",298,0.5963270391292962,76.7,8.912985253123452,95.41
6,"Anniston--Oxford, AL",226,-0.15049735802067818,50,3.2738923947808485,84.69
7,"Columbus, GA-AL",212,0.35793928184900525,69.73,-2.1095263130174033,63.1
8,"Gadsden, AL",229,-0.37866262472811707,38.95,5.49207511164486,89.46
9,"Meridian, MS",167,-0.7392884572050665,23.3,-3.869762987376828,53.4
10,"Huntsville, AL",233,0.6542154305578685,77.72,-1.7380602092729438,65.99
11,"Andalusia, AL",183,-0.9219421847596401,17.69,0.6370803169619992,76.53
12,"Hamilton, AL",125,-0.9118247821249659,17.86,-10.169501206956081,11.22
565,"Akutan, AK",33,-0.2451462869297635,45.41,-5.976035878701728,39.29
566,"Unalaska, AK",45,0.7821932385517116,80.44,-4.687540840430161,49.32
567,"Anchorage, AK",235,1.0202186453902866,84.18,-5.497933285551377,43.37
568,"Bethel, AK",60,0.5930136976790553,76.53,-5.192697773391647,45.58
569,"Kenai, AK",192,0.2220940122177141,64.29,-5.105873368539571,46.43
570,"Fairbanks, AK",165,0.1434936642443512,60.88,-6.9833330090209955,33.67
571,"Dillingham, AK",49,0.22301261447302767,64.46,-5.705262830485008,41.5
572,"Haines, AK",98,0.2870495712144022,66.84,-10.5382488904849,8.67
573,"Juneau, AK",140,1.286598459846756,89.12,-7.4289032818040015,31.46
574,"Ketchikan, AK",116,0.5056494537812912,73.3,-9.15202946782041,18.03
575,"Kodiak--Mill Bay, AK",103,0.5160081801455764,73.81,-9.367857229716497,16.16
576,"Hooper Bay, AK",33,-0.22145339461486035,46.6,-5.26555807349718,45.07
577,"Nome, AK",65,-0.06577293499429729,53.4,-8.207155179700845,26.53
578,"Utqiaġvik, AK",51,-0.07688575501041996,53.23,-4.725459720391021,48.98
