state_fips,state_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,strategic_index,strategic_index_percentile,state_abbreviation
01,Alabama,335,-1.4225809671640377,1.96,-8.69710427882049,74.51,AL
02,Alaska,226,0.8497228791371423,80.39,-10.0408339984993,49.02,AK
04,Arizona,316,0.7574324710145786,76.47,-15.435154911896332,1.96,AZ
05,Arkansas,347,-1.254788725626911,9.8,-10.69638877143606,23.53,AR
06,California,338,1.7133747254638199,96.08,-13.127389838617383,9.8,CA
08,Colorado,353,0.8673763080221236,82.35,-8.876932186582781,70.59,CO
09,Connecticut,302,0.6390027447420712,72.55,-10.410035600953565,35.29,CT
10,Delaware,220,0.5498846186840152,70.59,-9.189258634604448,64.71,DE
11,District of Columbia,115,2.7409452185696304,100,0.2225090993338376,100,DC
12,Florida,372,1.090409588664471,88.24,-10.47822342297158,31.37,FL
13,Georgia,374,-0.3795142020590992,43.14,-10.604136800252984,29.41,GA
15,Hawaii,221,1.6908252027210628,94.12,-8.601184821439531,80.39,HI
16,Idaho,344,0.0837236815549239,52.94,-5.462520406644585,96.08,ID
17,Illinois,418,-0.30230903065018466,47.06,-14.980484707208083,3.92,IL
18,Indiana,389,-1.3988887172092568,3.92,-10.396755449590051,37.25,IN
19,Iowa,303,-1.3504251061640402,7.84,-10.37088011356973,39.22,IA
20,Kansas,281,-1.1147549718505312,15.69,-10.366075592477388,41.18,KS
21,Kentucky,357,-1.3725814679432893,5.88,-10.68432004080983,25.49,KY
22,Louisiana,301,-0.3712958706759762,45.1,-8.233071219888076,88.24,LA
23,Maine,275,0.3307678650777783,60.78,-9.678989283871282,58.82,ME
24,Maryland,257,1.2793796518201421,90.2,-9.622391466610773,60.78,MD
25,Massachusetts,308,1.317683172253328,92.16,-8.835791027126978,72.55,MA
26,Michigan,373,-0.7609631654371265,25.49,-8.579382563027801,82.35,MI
27,Minnesota,354,-0.46703227265363867,41.18,-10.904937678645062,21.57,MN
28,Mississippi,294,-1.2219508890144102,11.76,-13.163906358015076,7.84,MS
29,Missouri,372,-0.9524739916797927,21.57,-10.120036004212203,47.06,MO
30,Montana,316,0.21357132161658718,54.9,-4.863479948544145,98.04,MT
31,Nebraska,271,-0.7594351849704382,29.41,-10.678568705582787,27.45,NE
32,Nevada,250,0.9220521705609757,84.31,-10.428101874167229,33.33,NV
33,New Hampshire,334,0.28877329449553596,58.82,-11.812958436044845,15.69,NH
34,New Jersey,347,0.9752391015641545,86.27,-8.602693242644667,78.43,NJ
35,New Mexico,243,0.3743181919741578,64.71,-11.815275001010413,13.73,NM
36,New York,288,1.914562866599401,98.04,-8.008279772938389,90.2,NY
37,North Carolina,353,-0.6715093699284966,35.29,-9.830586446570715,54.9,NC
38,North Dakota,229,-0.685188853799092,33.33,-11.122141387437633,19.61,ND
39,Ohio,396,-1.2064665491452788,13.73,-9.97763205241202,50.98,OH
40,Oklahoma,283,-0.8418740464879819,23.53,-8.576176929954366,86.27,OK
41,Oregon,343,0.3626867011115117,62.75,-8.62915341610416,76.47,OR
42,Pennsylvania,399,-0.5666694840210666,39.22,-7.527055628077509,92.16,PA
44,Rhode Island,273,0.6938961946217559,74.51,-8.902322337763605,68.63,RI
45,South Carolina,380,-0.6126689391505069,37.25,-8.57680839612048,84.31,SC
46,South Dakota,281,-0.7207753210581933,31.37,-10.253145372583834,43.14,SD
47,Tennessee,383,-0.97628857188346,19.61,-11.299043712987576,17.65,TN
48,Texas,364,-0.12170030715386233,50.98,-6.6487612756500925,94.12,TX
49,Utah,392,0.28034377417270695,56.86,-13.216372012208934,5.88,UT
50,Vermont,291,0.4351904492978267,66.67,-9.490651993862732,62.75,VT
51,Virginia,258,0.491728691984767,68.63,-8.962504825115388,66.67,VA
53,Washington,290,0.7925255419502777,78.43,-9.912195537932167,52.94,WA
54,West Virginia,252,-0.7604773491948575,27.45,-12.783483248014461,11.76,WV
55,Wisconsin,388,-1.0936681564294521,17.65,-10.20907385125877,45.1,WI
56,Wyoming,231,-0.2691349163237636,49.02,-9.806166683112782,56.86,WY
