industry_code,industry_ubiquity,industry_complexity,industry_complexity_percentile
111000,74,-0.9020089445319702,17.53
112000,70,-1.4358848423284782,2.53
113110,46,-0.6973620459940398,27.03
113210,40,-0.8520667430126738,19.54
113310,64,-0.930150051587005,16.16
114111,30,0.7652550713809886,78.88
114112,22,0.7789170509718027,79.51
114119,23,0.8412958687671707,80.68
114210,47,-0.7680135506315152,23.23
115111,35,-0.6577660605191985,29.57
115112,72,-1.1510420889268091,8.76
115113,37,-0.21789416436990752,49.95
115114,31,-0.04522106499505182,56.28
115115,33,0.2584530928016665,66.42
115116,28,-0.3068423881520832,45.41
115210,60,-1.1380808921133005,9.29
115310,49,-0.42670044853771183,40.02
211120,22,0.06440270168924804,60.08
211130,27,-0.3421860645999676,43.93
212114,12,-1.5491001101997273,1.06
212115,10,-1.7553149061811086,0.21
212210,3,-0.8402066727152546,20.17
212220,7,1.0895259549410505,85.74
212230,8,1.5894518006328644,91.76
212290,8,1.0431491933065515,84.9
212311,32,-0.7604485865618558,23.44
212312,68,-1.32615295949884,4.75
212313,23,0.607983145444683,75.4
212319,36,0.10810696710054507,61.88
212321,75,-0.6153979188074172,31.57
212322,25,-0.21168762928874182,50.16
212323,16,0.3865342002769707,70.12
212390,31,-0.07026617572706038,54.91
213111,26,-0.5543546342354876,33.79
213112,28,-0.22890477794671651,49.21
213113,19,-1.142425725172228,9.19
213114,10,1.2971127990734395,89.12
213115,26,-0.606054415215987,31.89
221111,34,-0.35065313955255295,43.61
221112,51,-1.0510285619140969,11.72
221113,26,-0.4257962090515698,40.23
221114,27,1.7338180800028613,93.35
221115,29,-0.15585852472830647,51.74
221116,5,0.05271245076429834,59.66
221117,21,0.4945708374577914,73.6
221118,22,-0.2875047143299318,46.88
221121,43,-0.4786940152691671,37.59
221122,82,-0.6851444814871737,27.88
221210,54,-0.5279824241293365,34.95
221310,74,-0.6201802201720291,31.47
221320,53,-0.14486625997430366,52.16
221330,26,0.9156676470463332,82.68
236115,69,0.47227967318190833,72.97
236116,38,1.4928156188172361,90.5
236117,77,0.34626653890029063,69.48
236118,64,0.38872633673581425,70.43
236210,59,-0.8969899895169225,17.63
236220,76,-0.041543741774145083,56.6
237110,66,0.06617948669325557,60.19
237120,35,-0.7136276523481064,25.34
237130,65,-0.4463643143524663,38.75
237210,38,0.8928641725260181,82.15
237310,99,-0.3921981111902549,41.82
237990,53,-0.2905193885145691,46.67
238110,75,0.20344373673747046,64.73
238120,62,-0.08542331055139793,54.28
238130,37,0.9209655194938225,82.79
238140,75,0.3195471653544304,68.85
238150,61,0.8033947342023805,79.94
238160,74,0.2475311076124836,66.1
238170,85,-0.5676633914905512,33.16
238190,65,0.023331939176806295,58.82
238210,73,0.46823522842940696,72.76
238220,94,0.16083784860339234,63.25
238290,82,-0.6666485325797431,28.83
238310,59,0.6126865525270967,75.71
238320,51,1.1725413846036512,87.75
238330,62,0.933204648997699,82.89
238340,53,1.1782312877248402,87.96
238350,65,0.5924845553171642,75.29
238390,57,0.6524321824904825,76.56
238910,102,-0.5610091805697826,33.37
238990,80,0.1268222649303512,62.51
311111,46,-1.2236083083640763,6.76
311119,69,-1.3388288403980149,4.44
311211,53,-0.6593420379362668,29.36
311212,11,-0.4969750423727065,36.64
311213,21,-0.6901964991237799,27.56
311221,16,-1.28306355324819,5.28
311224,38,-1.4201179701405349,2.64
311225,30,-0.022140205697712516,57.02
311230,26,0.01810654838138075,58.18
311313,3,0.07247230514964782,60.61
311314,12,1.4933849089824522,90.6
311340,36,-0.4479439033939044,38.65
311351,17,0.1856801131530727,63.67
311352,47,-0.28941399310858157,46.78
311411,21,-0.20617773203334847,50.37
311412,42,-0.7053249660375827,26.29
311421,53,-0.5939462816802248,32.1
311422,20,-0.5132153811641944,35.69
311423,22,0.39479687285413306,70.75
311511,59,-0.9631940265085127,15.21
311512,13,-0.42309487689779096,40.55
311513,35,-0.7154323881671469,25.24
311514,33,-1.1133112398970213,9.82
311520,30,0.07597956459947154,61.03
311611,32,-1.2804412426910536,5.39
311612,53,-1.4500988813604498,2.11
311613,26,-0.5336348963055038,34.74
311615,34,-1.1950086429368618,7.18
311710,14,0.9021428353787763,82.26
311811,57,0.10478007098989076,61.67
311812,62,-0.29534015719799134,46.36
311813,26,0.6269914833154587,76.14
311821,44,-1.0434356477414752,11.93
311824,39,0.1591696039618855,63.15
311830,29,1.5532730822632035,91.34
311911,28,-0.07222291245648133,54.8
311919,46,-0.8596781646753038,19.32
311920,42,0.012492407568285293,57.87
311930,22,-0.02119755482176423,57.13
311941,38,0.4207854643765256,71.7
311942,41,0.22514424368086358,65.26
311991,44,-0.4322342926432681,39.39
311999,39,-0.6477839302149467,29.88
312111,75,-0.2998904201671902,46.04
312112,59,-0.34833975004481305,43.72
312113,50,-0.5109626015454949,35.8
312120,63,-0.32583249884334636,44.46
312130,25,0.04986743021046553,59.24
312140,34,-0.6846764690103715,27.98
312230,15,0.30405416891339854,68.32
313110,15,-0.7112115716566056,25.66
313210,26,-0.6333014085611514,30.62
313220,27,-0.5825950003176505,32.63
313230,35,-0.6728210681971599,28.51
313240,15,-0.738378847231366,24.08
313310,32,-0.08462683856673672,54.38
313320,31,-0.42998036201254664,39.81
314110,8,-0.5802472284026672,32.73
314120,36,-0.07768360946537359,54.49
314910,68,-0.5403362130477647,34.21
314994,27,-0.23057867480021035,49.1
314999,61,-0.5624335267253037,33.26
315120,20,-0.6902520991034005,27.46
315210,22,-0.38351798124168757,42.87
315250,36,-0.33548391863690075,44.14
315990,39,0.19811426710619448,64.31
316110,32,-1.0218057614712637,12.88
316210,22,-0.13725712647040852,52.69
316990,42,-0.2984783568654544,46.15
321113,61,-0.8732131693353609,18.59
321114,40,-0.4161204159286744,41.18
321211,36,-0.9332233874450439,16.05
321212,11,1.0096017488745301,83.95
321215,74,-0.48062309830878236,37.49
321219,27,-0.4228582662314794,40.65
321911,39,-0.5493859038258317,33.9
321912,40,-1.1862509700703423,7.39
321918,57,-0.989993233122898,13.73
321920,84,-1.4143221593186197,2.85
321991,24,-0.07016333182729168,55.02
321992,44,-0.7905178343847671,22.18
321999,65,-1.1833777508681265,7.71
322110,14,-0.6885255465967749,27.67
322120,39,-0.8692782764017928,18.69
322130,35,-0.6380867887421181,30.31
322211,79,-1.274914182784941,5.6
322212,48,-0.7321211882033059,24.29
322219,43,-0.9844427016624334,14.04
322220,53,-1.1456284337065814,8.87
322230,42,-0.8294185830890466,20.7
322291,31,-0.2741047958946409,47.73
322299,40,-1.342128482995341,4.22
323111,63,-0.9568708890249086,15.31
323113,74,-0.7873498320146644,22.39
323117,33,-0.4485221065952931,38.54
323120,36,-0.46332766080370846,38.23
324110,27,0.24985103872253692,66.31
324121,64,-0.7483007390463141,23.76
324122,30,0.4662717995093141,72.65
324191,40,-0.802758635278771,21.86
324199,26,-0.830078076212645,20.59
325110,14,-0.637320469958542,30.41
325120,48,-0.6151158952048337,31.68
325130,32,-0.7817787394546375,22.7
325180,48,-0.8881579366837151,18.06
325193,31,-1.5625005701251324,0.74
325194,18,-0.8007513207251434,21.96
325199,44,-0.6630224518066891,29.25
325211,47,-0.9035061606285129,17.42
325212,28,-0.321935901381145,44.77
325220,23,-0.9063599018924403,17.21
325311,26,-0.8165755685332173,21.12
325312,15,-0.319952887424726,44.88
325314,52,-0.42521311224047065,40.44
325315,23,1.1352670048976035,86.69
325320,33,-0.38936741429265787,42.45
325411,32,1.0563649767370242,85.22
325412,35,-0.06506772206112248,55.54
325413,21,1.0214419612828276,84.27
325414,21,0.47681263594731976,73.07
325510,49,-1.1057997057106759,10.56
325520,38,-0.4772532540625674,37.7
325611,35,-1.4057862238535765,3.17
325612,36,-0.7095741984144802,26.08
325613,26,-0.4579704237126605,38.33
325620,35,0.06185393140954124,59.77
325910,26,-0.7159257618398643,25.13
325920,21,-0.3855651465055025,42.66
325991,42,-1.0255719727527726,12.46
325992,16,-0.177248660717645,51.32
325998,56,-0.7504691290268541,23.65
326111,44,-0.7729934349009944,22.91
326112,40,-1.215122717748945,6.86
326113,48,-0.9270000007125886,16.26
326121,55,-0.9867018374507068,13.94
326122,51,-0.771288075170603,23.02
326130,46,-0.5353363845394848,34.53
326140,36,-1.0484333041698588,11.83
326150,59,-0.7959150095621174,22.07
326160,52,-1.0158248086909616,13.09
326191,28,-0.4930001999803723,36.85
326199,73,-1.4065344428234139,3.06
326211,26,-1.3019847010623806,5.07
326212,35,-0.9196078716710516,16.68
326220,38,-0.9976888126412493,13.52
326291,41,-1.2411986619193573,6.34
326299,46,-0.7128559996517829,25.45
327110,56,-0.5912853741131147,32.31
327120,50,-0.9776637662690214,14.15
327211,27,-0.6941672746162149,27.14
327212,22,-0.22704691604055105,49.52
327213,24,0.2966401784310364,68.22
327215,53,-0.4225402314129919,40.76
327310,50,-0.26545188289986943,48.05
327320,101,-0.4308730520612065,39.7
327331,69,-0.3064413979884973,45.62
327332,45,0.06721553714082829,60.3
327390,79,-0.30673997193408553,45.51
327410,24,-0.7407057118059631,23.86
327420,29,0.7558930697870823,78.78
327910,32,-0.6308247554816279,30.94
327991,77,-0.5235629200537251,35.27
327992,27,-1.234592133474916,6.55
327993,38,-1.1435993223682366,9.08
327999,44,-0.1336517077707349,52.9
331110,37,-1.3109633275305197,4.86
331210,42,-1.383629076533906,3.48
331221,47,-1.1855624954258124,7.5
331222,34,-1.0260575468493256,12.35
331313,19,-0.052055774780290213,56.07
331314,24,-1.2453757299501353,6.23
331315,19,-1.2247151110282732,6.65
331318,34,-0.863380446043837,19.11
331410,24,0.44956552369771724,72.23
331420,43,-1.1454615412368225,8.98
331491,28,-0.7366430090699756,24.18
331492,30,-0.5277640133495268,35.06
331511,46,-1.8023796202726872,0.11
331512,21,0.1195224039817629,62.41
331513,32,-0.906216144705891,17.32
331523,37,-1.4364894636298144,2.43
331524,40,-1.0522048070863355,11.62
331529,30,-1.3786496260780785,3.7
332111,43,-1.3803517279775877,3.59
332112,17,-0.5782764702850478,32.84
332114,23,-0.2843294292948575,47.31
332117,20,-0.4634038469655502,38.12
332119,49,-1.3916918536842424,3.38
332215,26,-0.9681494016055736,14.78
332216,47,-0.8650534165563823,19.01
332311,58,-0.7007295376533489,26.82
332312,87,-1.0886898682267363,10.88
332313,77,-1.361482164908281,4.12
332321,52,-0.8374427047027804,20.38
332322,76,-0.6315488495145889,30.83
332323,60,-0.171144825753832,51.64
332410,38,-0.8043040785068607,21.65
332420,65,-1.033556832573386,12.25
332431,39,-0.703153659074904,26.4
332439,38,-0.8808422947896036,18.27
332510,40,-1.240968743226297,6.44
332613,35,-0.9698244100105057,14.68
332618,49,-0.8626272727220704,19.22
332710,83,-1.3687766073840504,4.01
332721,44,-1.0639538434301727,11.3
332722,35,-1.0844437463189451,11.09
332811,42,-1.2468457799715464,6.12
332812,68,-1.4141150030242393,2.96
332813,51,-0.9896317805502869,13.83
332911,35,-0.5069584218815085,36.11
332912,43,-0.6428491776014255,30.1
332913,22,-0.4059035517617073,41.71
332919,32,0.01633814853195086,57.97
332991,26,-0.997840550500061,13.41
