industry_code,industry_description,industry_employment_share_nation
111000,Crop Production,0.0050759593815863525
112000,Animal Production,0.0026516068735359054
113110,Timber Tract Operations,2.529765124674053e-5
113210,Forest Nurseries and Gathering of Forest Products,1.703719369678444e-5
113310,Logging,3.570009133083107e-4
114111,Finfish Fishing,6.95656727141094e-5
114112,Shellfish Fishing,6.799962763693022e-5
114119,Other Marine Fishing,9.52247189786605e-6
114210,Hunting and Trapping,3.84857011823996e-5
115111,Cotton Ginning,3.501516172564721e-5
115112,"Soil Preparation, Planting, and Cultivating",1.982337719123838e-4
115113,"Crop Harvesting, Primarily by Machine",6.93591612753605e-5
115114,Postharvest Crop Activities (except Cotton Ginning),4.930575328707125e-4
115115,Farm Labor Contractors and Crew Leaders,0.0019636885889190415
115116,Farm Management Services,1.3253445224596218e-4
115210,Support Activities for Animal Production,2.514506223922051e-4
115310,Support Activities for Forestry,1.4428265853923307e-4
211120,Crude Petroleum Extraction,4.853477724907535e-4
211130,Natural Gas Extraction,2.1898243507779435e-4
212114,Surface Coal Mining,1.0554455448725149e-4
212115,Underground Coal Mining,1.3306794012939686e-4
212210,Iron Ore Mining,3.0466173644317227e-5
212220,Gold Ore and Silver Ore Mining,9.451913822960176e-5
212230,"Copper, Nickel, Lead, and Zinc Mining",1.1549725854917775e-4
212290,Other Metal Ore Mining,2.7529122070999505e-5
212311,Dimension Stone Mining and Quarrying,4.493344721444866e-5
212312,Crushed and Broken Limestone Mining and Quarrying,1.383110361020773e-4
212313,Crushed and Broken Granite Mining and Quarrying,3.681640038584597e-5
212319,Other Crushed and Broken Stone Mining and Quarrying,4.7732824495267114e-5
212321,Construction Sand and Gravel Mining,1.9314555951876501e-4
212322,Industrial Sand Mining,5.175406112201657e-5
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",3.634601321980681e-5
212390,Other Nonmetallic Mineral Mining and Quarrying,7.25314064316978e-5
213111,Drilling Oil and Gas Wells,2.585121663116467e-4
213112,Support Activities for Oil and Gas Operations,0.0012918437779514667
213113,Support Activities for Coal Mining,2.8819818563180146e-5
213114,Support Activities for Metal Mining,2.8521524262765064e-5
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,1.930308309416823e-5
221111,Hydroelectric Power Generation,4.766398734901748e-5
221112,Fossil Fuel Electric Power Generation,4.273754224908533e-4
221113,Nuclear Electric Power Generation,2.1330337051219954e-4
221114,Solar Electric Power Generation,9.617122973959298e-5
221115,Wind Electric Power Generation,6.69670704431857e-5
221116,Geothermal Electric Power Generation,6.2068160201753414e-6
221117,Biomass Electric Power Generation,1.4094405694612582e-5
221118,Other Electric Power Generation,2.8424004972244748e-5
221121,Electric Bulk Power Transmission and Control,1.6649411106244835e-4
221122,Electric Power Distribution,0.0013226426644693237
221210,Natural Gas Distribution,6.79021083464099e-4
221310,Water Supply and Irrigation Systems,3.202533500687144e-4
221320,Sewage Treatment Facilities,4.456057933892981e-5
221330,Steam and Air-Conditioning Supply,8.879991866202799e-6
236115,New Single-Family Housing Construction (except For-Sale Builders),0.003135847515257811
236116,New Multifamily Housing Construction (except For-Sale Builders),3.1452265764343235e-4
236117,New Housing For-Sale Builders,5.648833585533516e-4
236118,Residential Remodelers,0.0045392476251356634
236210,Industrial Building Construction,9.852144464113258e-4
236220,Commercial and Institutional Building Construction,0.004716107463137536
237110,Water and Sewer Line and Related Structures Construction,0.0012763210014721741
237120,Oil and Gas Pipeline and Related Structures Construction,8.510279026553723e-4
237130,Power and Communication Line and Related Structures Construction,0.0014282732653893872
237210,Land Subdivision,2.4511186850838463e-4
237310,"Highway, Street, and Bridge Construction",0.002228505090541384
237990,Other Heavy and Civil Engineering Construction,8.575674315490875e-4
238110,Poured Concrete Foundation and Structure Contractors,0.0017197985797565878
238120,Structural Steel and Precast Concrete Contractors,5.447083382733546e-4
238130,Framing Contractors,6.333246912120503e-4
238140,Masonry Contractors,0.0010414486584684225
238150,Glass and Glazing Contractors,4.971303973571492e-4
238160,Roofing Contractors,0.0017056468097734338
238170,Siding Contractors,3.496640208038706e-4
238190,"Other Foundation, Structure, and Building Exterior Contractors",3.7706694144007906e-4
238210,Electrical Contractors and Other Wiring Installation Contractors,0.0069573474257351026
238220,"Plumbing, Heating, and Air-Conditioning Contractors",0.008182958396136713
