cbsa_geoid,cbsa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
33860,"Montgomery, AL Metro Area",210,0.42262555639749283,72.97
19300,"Daphne-Fairhope-Foley, AL Metro Area",245,0.5778537010978446,76.11
21640,"Eufaula, AL-GA Micro Area",98,-0.9772972399366451,13.3
13820,"Birmingham, AL Metro Area",281,0.3025174321744814,68.97
11500,"Anniston-Oxford, AL Metro Area",163,-0.5702680292821188,32.86
29300,"LaGrange, GA-AL Micro Area",140,-0.41359043930923267,41.51
21460,"Enterprise, AL Micro Area",147,-0.4643040935931304,38.81
22520,"Florence-Muscle Shoals, AL Metro Area",204,-0.4564624805204196,39.35
45180,"Talladega-Sylacauga, AL Micro Area",144,-1.0534187133498152,9.41
18980,"Cullman, AL Micro Area",178,-0.7319984077718492,25.3
37120,"Ozark, AL Micro Area",90,-0.3647197962543817,43.46
42820,"Selma, AL Micro Area",138,-0.99094398807661,12.22
22840,"Fort Payne, AL Micro Area",144,-1.2656933495917286,4.11
23460,"Gadsden, AL Metro Area",167,-0.7930393959211719,22.05
40770,"Russellville, AL Micro Area",98,-1.2722447794824638,3.68
20020,"Dothan, AL Metro Area",209,-0.30624263748698916,46.49
46220,"Tuscaloosa, AL Metro Area",172,-0.588399507669745,32.32
42460,"Scottsboro, AL Micro Area",145,-0.8535320688525436,19.03
19460,"Decatur, AL Metro Area",196,-0.5518244134144513,34.16
12220,"Auburn-Opelika, AL Metro Area",167,-0.06574742592139013,56.43
26620,"Huntsville, AL Metro Area",167,1.1423546524709731,85.95
10700,"Albertville, AL Micro Area",158,-0.8296775921885666,20.54
33660,"Mobile, AL Metro Area",256,0.2006948774847948,65.95
45980,"Troy, AL Micro Area",91,-1.2281621584183677,5.3
17980,"Columbus, GA-AL Metro Area",164,0.16550072352189296,64.76
10760,"Alexander City, AL Micro Area",120,-0.7628632470108175,23.46
11260,"Anchorage, AK Metro Area",238,1.4850423650072322,90.81
21820,"Fairbanks-College, AK Metro Area",160,0.6792365554264665,77.95
27940,"Juneau, AK Micro Area",139,2.0097166109439333,95.46
28540,"Ketchikan, AK Micro Area",116,1.0727072046842103,84.22
43420,"Sierra Vista-Douglas, AZ Metro Area",155,0.5684517251459823,75.89
22380,"Flagstaff, AZ Metro Area",177,1.1247248119480875,85.19
37740,"Payson, AZ Micro Area",111,-0.2974984858760466,46.81
40940,"Safford, AZ Micro Area",112,-0.6460077464994285,29.51
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",316,2.1723385988141453,96.65
29420,"Lake Havasu City-Kingman, AZ Metro Area",219,0.26238746112725686,68
43320,"Show Low, AZ Micro Area",155,-0.03197025850502925,58.27
46060,"Tucson, AZ Metro Area",214,1.594528603174654,92
35700,"Nogales, AZ Micro Area",130,-0.0048253576714778305,59.57
39150,"Prescott Valley-Prescott, AZ Metro Area",232,1.0237731834635377,83.24
49740,"Yuma, AZ Metro Area",156,-0.16904710343809817,52.65
34260,"Mountain Home, AR Micro Area",152,0.13761905580274128,64.32
22220,"Fayetteville-Springdale-Rogers, AR Metro Area",236,0.6531667982641074,77.73
25460,"Harrison, AR Micro Area",171,-0.6990795258459395,27.14
15780,"Camden, AR Micro Area",89,-0.7927082865255538,22.16
11660,"Arkadelphia, AR Micro Area",95,-0.6774286250116381,28.11
38220,"Pine Bluff, AR Micro Area",137,-0.8536152306658452,18.92
31620,"Magnolia, AR Micro Area",105,-1.0878574787078463,8.65
27860,"Jonesboro, AR Metro Area",189,-0.6777998726251241,27.89
22900,"Fort Smith, AR-OK Metro Area",231,-0.4320887744170933,40.97
32820,"Memphis, TN-MS-AR Metro Area",270,1.0944825768141482,84.43
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",255,0.18765101231531944,65.19
26300,"Hot Springs, AR Metro Area",220,0.37519094872941194,71.03
37500,"Paragould, AR Micro Area",134,-0.9415637002571993,15.46
31680,"Malvern, AR Micro Area",113,-0.9052123042854545,16.76
12900,"Batesville, AR Micro Area",119,-0.8345509488769767,20
45500,"Texarkana, TX-AR Metro Area",207,-0.5655686945999326,33.41
14180,"Blytheville, AR Micro Area",102,-1.2430016622437225,4.65
40780,"Russellville, AR Micro Area",172,-1.0190998021987754,11.03
22620,"Forrest City, AR Micro Area",101,-1.2221047507237548,5.51
20980,"El Dorado, AR Micro Area",148,-0.9485278310686674,14.59
42620,"Searcy, AR Micro Area",166,-0.8473683236674642,19.14
41860,"San Francisco-Oakland-Fremont, CA Metro Area",282,4.130801804784968,100
23820,"Gardnerville Ranchos, NV-CA Micro Area",187,1.8343266628485237,94.27
17020,"Chico, CA Metro Area",217,0.5506594139755664,75.35
18860,"Crescent City, CA Micro Area",97,0.3045847980424205,69.19
40900,"Sacramento-Roseville-Folsom, CA Metro Area",237,1.8274175786912399,94.16
23420,"Fresno, CA Metro Area",217,0.2550704101792646,67.68
21700,"Eureka-Arcata, CA Micro Area",181,0.5121462257235169,75.03
20940,"El Centro, CA Metro Area",122,-0.26240435322410893,48.22
13860,"Bishop, CA Micro Area",115,0.44103843624512734,73.62
12540,"Bakersfield-Delano, CA Metro Area",175,-0.2308133940305163,50.05
25260,"Hanford-Corcoran, CA Metro Area",88,-0.856431753737424,18.81
17340,"Clearlake, CA Micro Area",130,0.13554530261643402,64.22
45000,"Susanville, CA Micro Area",83,-0.3316303121901534,44.97
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",352,3.2596487654428463,99.35
46380,"Ukiah, CA Micro Area",175,0.5916608438421851,76.54
32900,"Merced, CA Metro Area",139,-0.7356179997030685,25.08
41500,"Salinas, CA Metro Area",126,1.0780543877368143,84.32
34900,"Napa, CA Metro Area",149,1.5781366438937867,91.78
46020,"Truckee-Grass Valley, CA Micro Area",241,1.7495167137746155,93.51
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",303,1.0262986451708989,83.46
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",162,3.8550229632168582,99.78
41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",282,3.299538446830201,99.46
44700,"Stockton-Lodi, CA Metro Area",226,0.21660049861162942,66.49
42020,"San Luis Obispo-Paso Robles, CA Metro Area",234,1.4855236893073764,90.92
42200,"Santa Maria-Santa Barbara, CA Metro Area",204,2.6185752282601804,98.38
42100,"Santa Cruz-Watsonville, CA Metro Area",239,1.9757585046634063,95.14
39820,"Redding, CA Metro Area",226,0.4957079134038871,74.92
46700,"Vallejo, CA Metro Area",251,0.986509026066695,82.27
42220,"Santa Rosa-Petaluma, CA Metro Area",276,1.700262458620534,93.08
33700,"Modesto, CA Metro Area",238,0.04015017873449194,61.08
49700,"Yuba City, CA Metro Area",158,-0.4773287821038863,38.27
39780,"Red Bluff, CA Micro Area",125,-0.7651017323687507,23.24
47300,"Visalia, CA Metro Area",170,-0.2078582846947774,51.35
43760,"Sonora, CA Micro Area",157,0.5675786222010468,75.78
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",295,2.0058568820760008,95.35
19740,"Denver-Aurora-Centennial, CO Metro Area",338,2.7446604063105307,98.49
10480,"Alamosa, CO Micro Area",136,-0.3295793662045819,45.08
14500,"Boulder, CO Metro Area",251,3.2554907259944534,99.24
20780,"Edwards, CO Micro Area",154,2.2540041020834893,97.3
17820,"Colorado Springs, CO Metro Area",211,2.019585089582732,95.68
15860,"Cañon City, CO Micro Area",148,0.1903344361606399,65.51
40090,"Rifle, CO Micro Area",190,1.7840271040161357,93.73
14720,"Breckenridge, CO Micro Area",142,2.1423292553152162,96.32
20420,"Durango, CO Micro Area",225,1.1975420587329084,86.92
