commuting_zone_geoid,commuting_zone_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
1,"Montgomery, AL",216,0.5739089967900867,75
2,"Mobile, AL",297,0.35783118724814167,69.56
3,"Dothan, AL",210,-0.3341549546216223,40.65
4,"Tuscaloosa, AL",197,-0.30639810444842225,43.2
5,"Birmingham, AL",298,0.5963270391292962,76.7
6,"Anniston--Oxford, AL",226,-0.15049735802067818,50
7,"Columbus, GA-AL",212,0.35793928184900525,69.73
8,"Gadsden, AL",229,-0.37866262472811707,38.95
9,"Meridian, MS",167,-0.7392884572050665,23.3
10,"Huntsville, AL",233,0.6542154305578685,77.72
11,"Andalusia, AL",183,-0.9219421847596401,17.69
12,"Hamilton, AL",125,-0.9118247821249659,17.86
565,"Akutan, AK",33,-0.2451462869297635,45.41
566,"Unalaska, AK",45,0.7821932385517116,80.44
567,"Anchorage, AK",235,1.0202186453902866,84.18
568,"Bethel, AK",60,0.5930136976790553,76.53
569,"Kenai, AK",192,0.2220940122177141,64.29
570,"Fairbanks, AK",165,0.1434936642443512,60.88
571,"Dillingham, AK",49,0.22301261447302767,64.46
572,"Haines, AK",98,0.2870495712144022,66.84
573,"Juneau, AK",140,1.286598459846756,89.12
574,"Ketchikan, AK",116,0.5056494537812912,73.3
575,"Kodiak--Mill Bay, AK",103,0.5160081801455764,73.81
576,"Hooper Bay, AK",33,-0.22145339461486035,46.6
577,"Nome, AK",65,-0.06577293499429729,53.4
578,"Utqiaġvik, AK",51,-0.07688575501041996,53.23
579,"Kotzebue, AK",39,0.3843077644357869,70.41
580,"Petersburg, AK",89,0.24366526253219314,64.97
581,"Metlakatla, AK",69,0.2857004509250845,66.67
582,"Sitka, AK",119,1.1030886100929174,86.22
583,"Skagway, AK",72,0.8651480394932783,81.97
584,"Wrangell, AK",61,0.5779939869393218,75.51
13,"Gallup, NM",132,-0.6258143849344884,27.89
14,"Tucson, AZ",216,1.2173436110723816,87.59
15,"Prescott--Prescott Valley, AZ",227,0.5633541754644013,74.66
16,"Phoenix--Mesa--Scottsdale, AZ",316,2.144411756431545,96.26
17,"Safford, AZ",130,-0.9677110653359848,15.99
18,"Los Angeles--Long Beach--Anaheim, CA",355,2.7387006150965316,98.81
19,"Yuma, AZ-CA",152,-0.3100632491768445,42.86
20,"Helena-West Helena, AR",144,-1.072136113032062,13.1
21,"Pine Bluff, AR",169,-1.0076769697462282,15.14
22,"Mountain Home, AR",172,-0.09930367243339923,52.38
23,"Fayetteville--Springdale--Rogers, AR-MO",238,0.7846616802737908,80.78
24,"Harrison, AR",174,-0.5110540206659335,34.01
25,"El Dorado, AR",153,-0.7316264540468105,23.64
26,"Hot Springs, AR",209,-0.44488902569278604,37.07
27,"Jonesboro, AR",205,-0.43684822800084955,37.41
28,"Heber Springs, AR",157,-0.39233935782959917,38.78
29,"Magnolia, AR",113,-0.9991000878562254,15.48
30,"Little Rock, AR",256,0.5762951958521823,75.34
31,"Fort Smith, AR-OK",231,-0.09937633324667856,52.21
32,"Memphis, TN-MS-AR",270,1.453957347961953,91.84
33,"Batesville, AR",160,-0.5632608949721988,30.78
34,"Searcy, AR",172,-0.7578455502759804,22.79
35,"Russellville, AR",173,-0.6108737958658146,28.57
36,"Texarkana, TX-AR",207,-0.4614292880113993,36.22
37,"Blytheville, AR",124,-0.7622427563306389,22.62
38,"De Queen, AR",150,-0.8353872084800783,20.24
39,"San Francisco--Oakland, CA",294,3.283970185271193,99.66
40,"Reno, NV-CA",297,1.1061358649816992,86.39
41,"Stockton, CA",243,0.12929045915942644,60.37
42,"Redding, CA",241,0.153505259634671,61.56
43,"Sacramento, CA",240,1.3553465317263829,90.31
44,"Crescent, CA",139,0.010007036024104568,55.95
45,"Fresno, CA",212,0.30471231583817954,67.69
46,"Eureka, CA",181,0.21658190846542852,63.44
47,"Bakersfield, CA",179,-0.26014952629866156,44.9
48,"Ukiah, CA",183,0.21704204592922674,63.95
49,"Susanville, CA",138,-0.14671846692739995,50.51
50,"Klamath Falls--Altamont, OR",178,-0.46182296523980804,36.05
51,"San Jose, CA",169,3.0750683771783223,99.49
52,"San Diego, CA",282,2.8598204739810984,99.15
53,"Santa Barbara, CA",241,1.7294027210530762,94.39
54,"Denver--Aurora, CO",329,2.7170802205913382,98.64
55,"Alamosa, CO",160,-0.48980722190382786,34.86
56,"Farmington, NM",233,-0.1609592894889987,49.15
57,"Lamar, CO",110,-1.2412967229031153,7.99
58,"Salida, CO",168,0.6567162262919854,77.89
59,"Burlington, CO",111,-1.1117993154749914,11.56
60,"Colorado Springs, CO",223,1.0388939413420493,84.35
61,"Grand Junction, CO",290,0.3613580295572245,70.07
62,"Edwards--Avon, CO",191,1.3095380184635341,89.8
63,"Laramie, WY",144,0.14494972631451875,61.05
64,"Gunnison, CO",165,0.9802806358559516,83.5
65,"Trinidad, CO",122,-0.5927970677168279,29.25
66,"Fort Collins, CO",288,0.43865693066486805,71.77
67,"Sterling, CO",116,-1.7616679401498396,1.19
68,"Steamboat Springs, CO",205,0.49083483185120735,73.13
69,"Sidney, NE",104,-1.4242251080486477,4.59
70,"Hartford, CT",299,2.240918114812845,96.77
71,"Dover, DE",255,0.5556451519758802,74.49
72,"Philadelphia, PA",273,2.650284301691406,98.13
73,"Washington, DC",156,3.554512464474996,100
74,"Gainesville, FL",165,0.8318704630545676,81.29
75,"Jacksonville, FL",307,1.6544838612803727,93.71
76,"Panama City--Panama City Beach, FL",226,0.6042266357072251,77.04
77,"Port St. Lucie, FL",298,2.004233696399947,95.41
78,"Miami, FL",355,2.6669116652338114,98.47
79,"Bradenton--Sarasota--Venice, FL",280,1.4724131734487031,92.01
80,"Orlando, FL",304,1.9958932844593336,95.24
81,"Cape Coral, FL",263,1.2619159553325483,88.27
82,"Lake, FL",189,-0.660925961236727,26.53
83,"Pensacola, FL-AL",233,1.2948900240682832,89.29
84,"Daytona Beach--Palm Coast--Port Orange, FL",261,1.2679307034530471,88.44
85,"Eastpoint, FL",117,0.8760882688018403,82.14
86,"Tallahassee, FL",197,0.8084129344963678,81.12
87,"Lakeland, FL",275,0.4431492312956208,71.94
88,"Tampa--St. Petersburg, FL",335,2.1059696125895853,95.92
89,"Douglas, GA",173,-0.5177602284964198,33.67
90,"Albany, GA",192,-0.281873041629984,44.22
91,"Milledgeville, GA",186,-0.3475551506080234,39.8
92,"Gainesville, GA",356,1.3889660385098328,91.16
93,"Dalton, GA",219,0.2961210910036073,67.18
94,"Tifton, GA",168,-0.5646633718593405,30.61
95,"Valdosta, GA",187,-0.32269833632848427,41.16
96,"Warner Robins, GA",172,0.17933381366034856,62.59
97,"Brunswick--St. Simons, GA",200,0.26168566084510725,65.82
98,"Savannah, GA",235,0.36451960902854263,70.24
99,"Augusta-Richmond County, GA",204,0.24423299879396376,65.14
100,"Atlanta, GA",317,2.805590939356615,98.98
101,"Chattanooga, TN-GA",295,0.659003978449646,78.06
102,"Woodstock, GA",271,0.942273367882717,82.65
103,"Athens-Clarke County, GA",186,0.5549924616005621,74.32
104,"Dublin, GA",175,-0.67174346913452,26.19
105,"Americus, GA",154,-0.5685296865401513,30.27
106,"Waynesville, NC",160,0.28144748831914695,66.33
107,"Andrews, NC",173,-0.020181614970890754,55.44
586,"Hilo, HI",202,1.2682611644140385,88.61
587,"Honolulu, HI",208,2.1611826418532076,96.43
588,"Kapaa, HI",160,1.6024108607423115,92.86
585,"Kahului--Wailuku, HI",203,1.759123369430963,94.56
108,"Boise, ID",321,1.0594694757161642,84.86
109,"McCall, ID",152,0.5735476323623212,74.83
110,"Pocatello, ID",185,-0.13887829470241267,50.68
111,"Evanston, WY",188,-0.5440814177808654,32.65
112,"Coeur d'Alene, ID",280,0.7501308136108971,79.93
113,"Twin Falls, ID",230,0.03893891882866702,57.48
114,"Spokane, WA",287,0.45138060904796184,72.62
115,"Idaho Falls, ID",268,0.64861539936656,77.38
116,"Burley, ID",144,-1.0867959046408309,12.59
117,"Lewiston, ID-WA",183,-0.3107842215367593,42.69
118,"Salmon, ID",148,-0.056063357714665994,53.91
119,"Logan, UT",215,0.2883068647417862,67.01
120,"Jackson, WY",186,1.273064499322145,88.95
121,"Quincy, IL",204,-0.3389932087313207,40.31
122,"Marion--Herrin, IL",180,-0.5616970310311798,30.95
123,"Granite City, IL",224,-0.1742589664904873,47.96
124,"Rockford, IL",261,0.26540143706670105,65.99
