state_fips,state_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score,state_abbreviation
01,Alabama,335,-1.4225809671640377,1.96,AL
02,Alaska,226,0.8497228791371423,80.39,AK
04,Arizona,316,0.7574324710145786,76.47,AZ
05,Arkansas,347,-1.254788725626911,9.8,AR
06,California,338,1.7133747254638199,96.08,CA
08,Colorado,353,0.8673763080221236,82.35,CO
09,Connecticut,302,0.6390027447420712,72.55,CT
10,Delaware,220,0.5498846186840152,70.59,DE
11,District of Columbia,115,2.7409452185696304,100,DC
12,Florida,372,1.090409588664471,88.24,FL
13,Georgia,374,-0.3795142020590992,43.14,GA
15,Hawaii,221,1.6908252027210628,94.12,HI
16,Idaho,344,0.0837236815549239,52.94,ID
17,Illinois,418,-0.30230903065018466,47.06,IL
18,Indiana,389,-1.3988887172092568,3.92,IN
19,Iowa,303,-1.3504251061640402,7.84,IA
20,Kansas,281,-1.1147549718505312,15.69,KS
21,Kentucky,357,-1.3725814679432893,5.88,KY
22,Louisiana,301,-0.3712958706759762,45.1,LA
23,Maine,275,0.3307678650777783,60.78,ME
24,Maryland,257,1.2793796518201421,90.2,MD
25,Massachusetts,308,1.317683172253328,92.16,MA
26,Michigan,373,-0.7609631654371265,25.49,MI
27,Minnesota,354,-0.46703227265363867,41.18,MN
28,Mississippi,294,-1.2219508890144102,11.76,MS
29,Missouri,372,-0.9524739916797927,21.57,MO
30,Montana,316,0.21357132161658718,54.9,MT
31,Nebraska,271,-0.7594351849704382,29.41,NE
32,Nevada,250,0.9220521705609757,84.31,NV
33,New Hampshire,334,0.28877329449553596,58.82,NH
34,New Jersey,347,0.9752391015641545,86.27,NJ
35,New Mexico,243,0.3743181919741578,64.71,NM
36,New York,288,1.914562866599401,98.04,NY
37,North Carolina,353,-0.6715093699284966,35.29,NC
38,North Dakota,229,-0.685188853799092,33.33,ND
39,Ohio,396,-1.2064665491452788,13.73,OH
40,Oklahoma,283,-0.8418740464879819,23.53,OK
41,Oregon,343,0.3626867011115117,62.75,OR
42,Pennsylvania,399,-0.5666694840210666,39.22,PA
44,Rhode Island,273,0.6938961946217559,74.51,RI
45,South Carolina,380,-0.6126689391505069,37.25,SC
46,South Dakota,281,-0.7207753210581933,31.37,SD
47,Tennessee,383,-0.97628857188346,19.61,TN
48,Texas,364,-0.12170030715386233,50.98,TX
49,Utah,392,0.28034377417270695,56.86,UT
50,Vermont,291,0.4351904492978267,66.67,VT
51,Virginia,258,0.491728691984767,68.63,VA
53,Washington,290,0.7925255419502777,78.43,WA
54,West Virginia,252,-0.7604773491948575,27.45,WV
55,Wisconsin,388,-1.0936681564294521,17.65,WI
56,Wyoming,231,-0.2691349163237636,49.02,WY
