industry_code,industry_ubiquity,industry_complexity,industry_complexity_percentile
111000,438,-1.458121079542157,5.07
112000,454,-1.7387757909029367,1.69
113110,255,-1.0526986115742527,13.41
113210,213,-0.806090563776682,20.27
113310,362,-1.3387092947970476,6.12
114111,161,0.23903661594768452,65.79
114112,122,-0.009118910299302946,55.76
114119,88,0.8360351421541379,81.1
114210,318,-1.352017727033836,5.7
115111,129,-2.003168773713072,0.42
115112,366,-1.6201323621217247,2.53
115113,168,-1.7722379916397755,1.37
115114,161,-1.4161031589587836,5.39
115115,354,-1.8852105004407458,0.74
115116,156,-1.476023911868288,4.65
115210,389,-1.185287377431734,9.71
115310,258,-0.8955056775095815,17.21
211120,115,-1.741555225383734,1.58
211130,120,-1.625959881892911,2.22
212114,50,-1.5611650703531934,3.59
212115,33,-1.5987906830100618,2.75
212210,12,-1.1588306724455473,10.24
212220,21,0.5404907157380978,75.08
212230,23,0.5782497036470072,75.4
212290,28,0.6455089875026422,77.61
212311,118,-0.4881274438253736,33.37
212312,224,-1.1012275680967984,11.3
212313,72,-0.008718980156474642,55.86
212319,144,-0.1476612748222835,49.31
212321,344,-0.8548322089101131,18.69
212322,63,-0.8765915288802131,17.74
212323,35,-0.27654347038903504,42.87
212390,89,-0.6029344338328759,29.04
213111,123,-1.6665274623285988,2.11
213112,136,-2.009919785336616,0.32
213113,60,-1.2094646995650211,9.08
213114,54,0.43759381827104976,72.86
213115,97,-0.6103465990703726,28.62
221111,123,-0.2526727699348446,44.56
221112,213,-0.9374571537226482,16.37
221113,40,0.5973345423903188,76.14
221114,85,1.269539149041924,88.28
221115,90,-1.2263643231052932,8.24
221116,20,0.4148211235445774,72.02
221117,63,0.3458437680034027,70.43
221118,65,0.45233367586702317,73.5
221121,115,-0.6050513479922441,28.72
221122,468,-1.4023219783339682,5.49
221210,288,-1.1899414459827302,9.5
221310,377,-1.0339643628741106,13.94
221320,180,-0.15045722860680089,49.21
221330,46,1.46692587397064,91.02
236115,418,-0.2804548150616775,42.34
236116,146,0.7872040482354677,80.25
236117,298,-0.1868909736508301,47.41
236118,365,-0.055382396421564284,53.01
236210,232,-1.524725350178214,4.12
236220,311,-0.7436372513285827,22.91
237110,364,-0.7945970765786005,20.59
237120,176,-1.6204538107401945,2.43
237130,301,-1.1558410522989524,10.45
237210,184,0.14289972930968176,61.99
237310,370,-0.858237620273122,18.59
237990,271,-0.7727416383558894,21.54
238110,347,-0.6853729632917309,25.24
238120,227,-0.6602022795565464,26.4
238130,234,-0.1883743256067937,47.2
238140,298,-0.21723381283070278,46.36
238150,273,-0.33175225909429756,40.65
238160,302,-0.24445964487595787,44.77
238170,398,-0.7289913149977064,23.65
238190,333,-0.9444621243225509,15.95
238210,287,-0.21524861183491611,46.46
238220,332,-0.1270190574825893,50.58
238290,273,-1.0425351174799156,13.73
238310,220,0.49677002577300094,74.13
238320,292,0.35513116029707836,70.75
238330,303,0.15298971844905135,62.3
238340,242,0.5307329812954031,74.55
238350,343,-0.18045208341252197,47.84
238390,175,0.5220058309394212,74.45
238910,570,-1.0038576453256234,14.78
238990,384,-0.5974453578000912,29.36
311111,121,-1.22639591654,8.13
311119,298,-1.6694999836872029,2.01
311211,115,-0.6418645468474438,27.24
311212,27,-1.375062118306385,5.6
311213,49,0.05412919268097112,58.08
311221,32,-1.004954829012221,14.57
311224,86,-1.6180269035372843,2.64
311225,65,-0.40177912889969336,37.28
311230,50,0.6768697172414617,78.35
311313,14,-1.1024494562342373,11.19
311314,20,1.6897758319623102,93.66
