industry_code,industry_ubiquity,industry_complexity,industry_complexity_percentile
111000,21,-0.5836164665590065,31.26
112000,22,-0.9416128410193323,18.16
113110,17,-0.3733012106195594,39.49
113210,23,-0.2153512358707779,46.04
113310,23,-0.6616104561743256,28.62
114111,15,1.3058347117102873,88.38
114112,9,1.1300492978416237,84.79
114119,11,0.8129486516275587,77.61
114210,15,-0.4202992492075436,37.59
115111,14,-1.2246092844209515,11.3
115112,21,-0.3895406475455404,38.86
115113,12,-0.06768578399342712,50.69
115114,9,0.4414560551271618,66.74
115115,15,-0.5735603090505541,31.57
115116,6,0.3085456663631125,63.67
115210,21,-1.1529295912843256,12.99
115310,16,-0.334933781286219,41.08
211120,10,-0.10446286194037671,49.1
211130,10,0.011909464094660838,54.49
212114,13,-0.874558588028942,20.38
212115,10,-0.7166281546838775,26.5
212210,4,-0.7884504508698374,24.29
212220,6,0.6320022067398446,73.28
212230,8,0.5285056001164719,69.69
212290,8,0.13444787900831337,58.18
212311,20,-1.0713496653671457,14.68
212312,18,-1.5715340847264754,4.44
212313,11,0.0049473933961610645,54.28
212319,21,-0.025173106585495108,52.48
212321,28,-0.2069813297626985,46.36
212322,10,-1.3881469137118618,6.86
212323,11,-0.8528750140891022,21.86
212390,14,0.36323333079709386,64.73
213111,13,-0.33215004271682613,41.18
213112,12,-0.1512541025457986,47.62
213113,12,-0.5569207306854197,32.31
213114,11,0.6419749696608554,73.39
213115,16,0.14015535913306615,58.39
221111,19,0.7869665007803761,77.19
221112,22,-0.5657823696296267,31.78
221113,18,-0.6372143955326569,29.36
221114,11,1.6891579504960967,94.51
221115,14,-0.38527363484913585,38.97
221116,6,0.5263094302083714,69.27
221117,14,0.44535760880541253,66.95
221118,14,0.14817854512671003,58.61
221121,20,-0.2931615839366407,43.61
221122,28,-0.4981767874712222,34.21
221210,15,-0.08303876719963994,50.05
221310,23,-0.01879327145499535,52.59
221320,24,-0.32657641475990035,41.61
221330,13,0.5329593877585853,69.9
236115,24,0.6082652356281995,72.54
236116,15,1.235717955963929,86.48
236117,22,-0.3034280407743741,42.45
236118,21,1.5112723705614115,91.24
236210,20,-0.914241612077027,19.43
236220,28,-0.053176546835385356,51.11
237110,22,0.15186753175516318,58.82
237120,12,-0.42126186207896643,37.49
237130,27,-0.6008637552586586,30.62
237210,13,0.5865870160686137,72.02
237310,30,-0.40236822719276477,38.33
237990,19,-0.1268567655578427,48.15
238110,23,-0.25668119264974987,44.46
238120,17,-0.04367978318312924,51.64
238130,18,0.7163473477532173,75.5
238140,27,0.434768802394759,66.53
238150,15,1.7493064420685749,95.56
238160,17,0.5694441450637643,71.17
238170,24,-0.8300392988251539,22.6
238190,18,0.11988715354810728,57.87
238210,28,0.21771154901052434,60.93
238220,26,-0.10291026341797437,49.21
238290,25,-0.7500452365593894,25.77
238310,22,0.9495691138517861,80.57
238320,20,1.285357454007069,87.75
238330,23,0.6674429506179129,74.34
238340,13,1.8121571190060273,96.52
238350,21,0.24264896525675075,61.99
238390,18,0.22116873497515496,61.03
238910,33,-0.4136707314660195,37.7
238990,20,0.1115141668228452,57.44
